字段名,类别,初始顺序,筛选状态,筛选原因,零值比例,标准差,相关变量,相关系数,MSA,共同度
词形丰富度TTR,词汇丰富度,14,最终保留,进入最终MF/MD模型,0.0,0.06247840758794432,,,0.7592014687298656,1.0051011560469354
Guiraud值,词汇丰富度,15,最终保留,进入最终MF/MD模型,0.0,1.0046429427629038,,,0.8643344702031038,0.4791897735631698
MATTR-50,词汇丰富度,16,最终保留,进入最终MF/MD模型,0.0,0.0415777342781069,,,0.8935411470453314,0.6586049960615716
仅出现一次词每千字,词汇丰富度,18,删除,与保留变量绝对相关系数≥0.85,0.0,48.496704989370386,仅出现一次词占比,0.9187518462844841,,
仅出现一次词占比,词汇丰富度,19,最终保留,进入最终MF/MD模型,0.0,0.057353522614293995,,,0.8917813725544368,0.8387025352091438
名词去重词每千字,词汇丰富度,21,最终保留,进入最终MF/MD模型,0.0,17.046291280539766,,,0.6631353076937395,0.5070518905958266
名词TTR,词汇丰富度,22,最终保留,进入最终MF/MD模型,0.0,0.1268772323280225,,,0.7109117029870518,0.5349653460950521
动词去重词每千字,词汇丰富度,24,最终保留,进入最终MF/MD模型,0.0,18.802714503857402,,,0.6690754219949013,0.9366969158067461
动词TTR,词汇丰富度,25,最终保留,进入最终MF/MD模型,0.0,0.10190453548062596,,,0.7311127054223143,0.8379020399084797
形容词去重词每千字,词汇丰富度,27,删除,变量级MSA<0.50,0.0,8.926200548170538,,,0.46439095475384967,
形容词TTR,词汇丰富度,28,删除,选定模型中共同度<0.30,0.0,0.13870629681395935,,,0.8126186156881242,0.17843735372871294
副词去重词每千字,词汇丰富度,30,删除,选定模型中共同度<0.30,0.0,9.61686424181703,,,0.6363429908664154,0.2129286490322589
副词TTR,词汇丰富度,31,删除,选定模型中共同度<0.30,0.0,0.12549655781770838,,,0.6506290335170014,0.2788091527616096
词汇密度,词汇密度与词长,34,最终保留,进入最终MF/MD模型,0.0,0.04318969108154848,,,0.6757906223450746,0.35850206564362364
实词率,词汇密度与词长,41,删除,选定模型中共同度<0.30,0.0,0.03237489548789656,,,0.5327403226117905,0.1097089161129506
实虚词比,词汇密度与词长,42,删除,与保留变量绝对相关系数≥0.85,0.0,0.3700502510572262,实词率,0.9604668847091687,,
平均词长,词汇密度与词长,43,最终保留,进入最终MF/MD模型,0.0,0.07406888126726763,,,0.8081686474061652,0.46509384547900257
双字词占比,词汇密度与词长,49,删除,与保留变量绝对相关系数≥0.85,0.0,0.06252986740057694,平均词长,0.8736572450701888,,
三字及以上词占比,词汇密度与词长,52,删除,选定模型中共同度<0.30,0.016129032258064516,0.014873835796077092,,,0.8276701854440343,0.2819314139184758
句子每千字,句段结构,54,删除,与保留变量绝对相关系数≥0.85,0.0,10.165563514810296,平均句长_字,-0.9356902049245805,,
段落每千字,句段结构,56,删除,选定模型中共同度<0.30,0.0,4.511742056801208,,,0.6497559109696683,0.12118092798319184
