因子数,因子序号,Tucker一致性中位数,Tucker一致性5%分位,Bootstrap成功次数
2,1,0.9988607605592887,0.9979508886289484,200
2,2,0.9985294660873161,0.9969834954043456,200
3,1,0.997467171832684,0.9895423921502791,200
3,2,0.9978049252333598,0.9950798255136902,200
3,3,0.987902384129014,0.9545829375092997,200
4,1,0.9976743885041961,0.9953511734639433,200
4,2,0.9951446532199395,0.986158648271773,200
4,3,0.9935577362023171,0.9835801863540329,200
4,4,0.9921793344023857,0.9839083364350771,200
5,1,0.9967959939649509,0.9935132467109865,200
5,2,0.9950544835140598,0.9847943995803259,200
5,3,0.9936216778428677,0.9812193986298314,200
5,4,0.9929824581177445,0.9848731046516722,200
5,5,0.9917457431502061,0.9819398853410618,200
