字段名,类别,共同度,独特性,D1_词汇丰富度与词汇扩展,D2_基础词汇与叙事推进,D3_人称指涉与信息密度,D4_句法延展与分句复杂度,D5_动作过程与动词链,主要维度,主要载荷
词形丰富度TTR,词汇丰富度,1.0051011560469354,-0.005101156046935396,0.9740146206946739,-0.16595865912348348,-0.06780299952058381,-0.1549032598041308,-0.01619047682889492,词汇丰富度与词汇扩展,0.9740146206946739
Guiraud值,词汇丰富度,0.4791897735631698,0.5208102264368302,0.6558657300175468,0.008890284917186995,0.09861965260373033,0.19789386085111335,-0.00794131875517231,词汇丰富度与词汇扩展,0.6558657300175468
MATTR-50,词汇丰富度,0.6586049960615716,0.34139500393842837,0.7969805061064226,0.016810511779200954,-0.08232159844773196,0.09973020710178303,0.08013436130705287,词汇丰富度与词汇扩展,0.7969805061064226
仅出现一次词占比,词汇丰富度,0.8387025352091438,0.16129746479085616,0.8433180887542207,-0.2793590408612688,0.16035121832554924,-0.0859085471458975,-0.12799558971674452,词汇丰富度与词汇扩展,0.8433180887542207
名词去重词每千字,词汇丰富度,0.5070518905958266,0.49294810940417344,0.6342467318798383,-0.19304399553345708,-0.1466499788441751,-0.05764732534021498,-0.20660967806511918,词汇丰富度与词汇扩展,0.6342467318798383
名词TTR,词汇丰富度,0.5349653460950521,0.4650346539049479,0.7206646966154211,0.09492155320007789,0.02524556729040393,-0.012664513964735613,0.07615714873577258,词汇丰富度与词汇扩展,0.7206646966154211
动词去重词每千字,词汇丰富度,0.9366969158067461,0.06330308419325392,0.7131834415905083,-0.0482353506658521,0.4073069768846332,-0.012149439553663828,0.5096008860801158,词汇丰富度与词汇扩展,0.7131834415905083
动词TTR,词汇丰富度,0.8379020399084797,0.16209796009152033,0.726755533203214,-0.15655025858322325,0.48324251304662363,-0.045013014127910575,-0.22286981300306719,词汇丰富度与词汇扩展,0.726755533203214
词汇密度,词汇密度与词长,0.35850206564362364,0.6414979343563764,0.07021059980877382,-0.23203263837277785,-0.4806682607490801,-0.03723337229791265,0.2594322476941966,人称指涉与信息密度,-0.4806682607490801
平均词长,词汇密度与词长,0.46509384547900257,0.5349061545209974,-0.018415981907795833,-0.4175105609143268,-0.5163295704631852,-0.09893556610165326,-0.11855444757505564,人称指涉与信息密度,-0.5163295704631852
平均句长_字,句段结构,0.7675574777445296,0.23244252225547035,-0.09343857104636927,-0.14274868742796806,-0.08775967876004948,0.8536235767224923,-0.0455472443773139,句法延展与分句复杂度,0.8536235767224923
句长标准差_字,句段结构,0.5442131599788884,0.4557868400211116,-0.0692020664048774,0.0230359403971234,-0.08131512090047031,0.7293515208006405,-0.018104962108172834,句法延展与分句复杂度,0.7293515208006405
超过30字长句每千字,句段结构,0.36960126571108126,0.6303987342889188,-0.04435936451384417,-0.1554984674154436,-0.055511094400583876,0.5832628882833294,-0.01329137586163656,句法延展与分句复杂度,0.5832628882833294
逗号每千字,句段结构,0.3743330762859717,0.6256669237140283,0.16761046355381948,0.2430886113919168,0.1346195348695758,0.5126330198531819,0.07894747362963156,句法延展与分句复杂度,0.5126330198531819
平均每句分句数,句段结构,0.9563495458342685,0.043650454165731545,0.027770231725738566,0.09944746076883597,0.034545580598472785,0.9713611335000217,0.030866062228043195,句法延展与分句复杂度,0.9713611335000217
代词每千字,词性,0.6270340330859673,0.3729659669140327,0.027971289938161285,0.3692238287033835,0.6988135958655414,-0.014891976463668502,0.03692142485406638,人称指涉与信息密度,0.6988135958655414
动词每千字,词性,0.935151908426169,0.06484809157383098,0.08124972862637807,0.13406259467941722,-0.06408453654909621,0.02310140295452821,0.9518072851627851,动作过程与动词链,0.9518072851627851
时间词每千字,词性,0.32060520001130205,0.679394799988698,0.18211918415748413,0.47810958908077683,-0.05399528484422144,0.004682863216105748,-0.23645634609545962,基础词汇与叙事推进,0.47810958908077683
第一人称单数代词每千字,语法标记,0.5102423725677954,0.48975762743220463,0.09647628982520857,0.41472690391559935,0.5690609489353591,-0.049585955304057946,-0.05145058475189096,人称指涉与信息密度,0.5690609489353591
第三人称代词每千字,语法标记,0.3490369060839114,0.6509630939160886,-0.052216369634428224,-0.012906827356506606,0.5882516841885597,0.005416920916523774,-0.00862459568957877,人称指涉与信息密度,0.5882516841885597
情态动词每千字,语法标记,0.3757881194447508,0.6242118805552492,-0.2165621446094607,-0.08386990094383154,-0.04795573012327583,0.014602500301694602,0.5651033636564697,动作过程与动词链,0.5651033636564697
结构助词的每千字,语法标记,0.42991522678563715,0.5700847732143628,-0.36553421669303005,-0.4708746330314853,0.1051778994587842,-0.028250597125285215,-0.25043273828957924,基础词汇与叙事推进,-0.4708746330314853
趋向动词每千字,记叙描写,0.46783602547897674,0.5321639745210233,0.1482957909771393,0.6605463134924936,-0.07486155167049507,0.027967371385036365,0.056004694519432414,基础词汇与叙事推进,0.6605463134924936
