篇名代码,国籍,样本量
J1,新加坡,31
J1,韩国,27
J1,日本,20
J1,马来西亚,17
J1,印度尼西亚,12
J1,葡萄牙,10
J1,泰国,8
J1,菲律宾,8
J1,缅甸,7
J1,美国,3
J1,英国,3
J1,法国,2
J1,越南,2
J1,乌克兰,1
J1,俄罗斯,1
J1,加拿大,1
J1,奥地利,1
J1,波兰,1
J2,日本,118
J2,加拿大,11
J2,印度尼西亚,4
J2,菲律宾,4
J2,澳大利亚,3
J2,美国,3
J2,马来西亚,3
J2,法国,2
J2,英国,2
J2,新西兰,1
J2,比利时,1
J2,泰国,1
J2,葡萄牙,1
J2,越南,1
Y1,韩国,53
Y1,缅甸,15
Y1,日本,14
Y1,印度尼西亚,11
Y1,泰国,8
Y1,美国,8
Y1,马来西亚,7
Y1,德国,5
Y1,几内亚比绍,3
Y1,法国,3
Y1,俄罗斯,2
Y1,加拿大,2
Y1,新加坡,2
Y1,柬埔寨,2
Y1,波兰,2
Y1,瑞士,2
Y1,荷兰,2
Y1,蒙古国,2
Y1,越南,2
Y1,保加利亚,1
Y1,厄瓜多尔,1
Y1,土库曼,1
Y1,塔吉克斯坦,1
Y1,意大利,1
Y1,拉脱维亚,1
Y1,澳大利亚,1
Y1,白俄罗斯,1
Y1,芬兰,1
Y1,英国,1
Y2,日本,53
Y2,越南,17
Y2,加拿大,8
Y2,澳大利亚,8
Y2,俄罗斯,7
Y2,印度尼西亚,7
Y2,英国,7
Y2,德国,6
Y2,泰国,6
Y2,美国,6
Y2,新加坡,4
Y2,法国,4
Y2,韩国,3
Y2,马来西亚,3
Y2,巴西,2
Y2,菲律宾,2
Y2,乌克兰,1
Y2,乌兹别克斯坦,1
Y2,保加利亚,1
Y2,墨西哥,1
Y2,朝鲜,1
Y2,柬埔寨,1
Y2,比利时,1
Y2,瑞典,1
Y2,瑞士,1
Y2,蒙古国,1
Y2,西班牙,1
Y2,阿根廷,1
