因子序号,实测特征根,随机95%阈值,实测大于随机阈值
1,12.258811308850664,1.9312944043913376,True
2,9.452296627138526,1.8581664565586138,True
3,4.541574382370385,1.809317868017039,True
4,3.9264803241477857,1.7682446205623845,True
5,3.2247530250594485,1.7297408380772192,True
6,3.067576517852451,1.6987881272874634,True
7,2.3624983944601192,1.667047292382701,True
8,2.068208955715676,1.6403640672947108,True
9,2.0193567966199786,1.6132117634847178,True
10,1.8078349245004144,1.5875406374259229,True
11,1.6712039228134976,1.5634806228723408,True
12,1.6199639137878472,1.540323644246394,True
13,1.5700283333940657,1.5185719042794055,True
14,1.5178193017463593,1.4943861483974425,True
15,1.4468579981257532,1.473190325903034,False
16,1.3916594521123822,1.4525122553131862,False
17,1.3189449065502648,1.4316640233836035,False
18,1.2407434770953665,1.4138255097563661,False
19,1.2079407426582376,1.392826292113817,False
20,1.1868981514156056,1.3756236951141458,False
21,1.126033967540612,1.3575929694898576,False
22,1.1022479581524909,1.3380699596363854,False
23,1.0929950356754614,1.3210496107550176,False
24,1.0541349262346478,1.3024195608903724,False
25,1.0247430398303767,1.2852367599208,False
26,1.0161059622640058,1.26862582008774,False
27,1.003648492243194,1.252630475384332,False
28,0.9948874008624602,1.2361590220011356,False
29,0.9627376249994513,1.2193298405318402,False
30,0.9448204052182048,1.203767727601471,False
31,0.9025982295662978,1.1900037129144676,False
32,0.8787746165170057,1.1731710403357887,False
33,0.8539075825140265,1.1584478916101704,False
34,0.8493744846675964,1.1433843217247792,False
35,0.837199535146495,1.1296111356454381,False
36,0.7799585941871103,1.1158633029710407,False
37,0.7649535438325276,1.1013725145096083,False
38,0.7493678248688358,1.0860030155363956,False
39,0.7422366251893987,1.0730102000577884,False
40,0.7201585135260953,1.0587583799224771,False
41,0.7010700499134767,1.0447366599164207,False
42,0.6819848323429115,1.0307467587310033,False
43,0.6651910104785806,1.0170881404221805,False
44,0.6550705976863926,1.00321661701589,False
45,0.6350127572071704,0.990777285730233,False
46,0.6157884405287879,0.9781593049198787,False
47,0.5902195778805259,0.9639461350636254,False
48,0.5670572830975982,0.9525203548328111,False
49,0.5651297794653897,0.9387315056965114,False
50,0.5529755818709664,0.9261863779583013,False
51,0.5207407710397445,0.9143076123626304,False
52,0.5123896113215559,0.9016353266289636,False
53,0.5009132996629589,0.890050301994216,False
54,0.48778092707431814,0.8767012033415978,False
55,0.4798484193614902,0.8645233596485022,False
56,0.4740024015731369,0.8529777988389767,False
57,0.4550730162728926,0.8397664753438727,False
58,0.43728881782143414,0.8299788609282172,False
59,0.42397869476356675,0.8174845361197196,False
60,0.41922097001509234,0.8055456645602098,False
61,0.3951304446872642,0.7946979300013366,False
62,0.3748136796667309,0.7820633799246465,False
63,0.35834495975815556,0.7711039959083562,False
64,0.33551187277305655,0.7590291392329351,False
65,0.3244967443908902,0.7478912208427709,False
66,0.2885677306111578,0.7361412680908321,False
67,0.2702854813672591,0.7252084983480727,False
68,0.24792892900743219,0.7147422884201724,False
69,0.23972398561605834,0.7026279954354933,False
70,0.2262399174486336,0.691347587546644,False
71,0.2094889471259975,0.6806795496419606,False
72,0.2015418967795126,0.669196161624566,False
73,0.19070951281119367,0.6586436281261218,False
74,0.18582079584879477,0.647832790869363,False
75,0.1699446098503556,0.6367322891422715,False
76,0.1538504109708782,0.6248468813411386,False
77,0.116591375613614,0.6134778418902571,False
78,0.09074036868725668,0.6019943228992468,False
79,0.07574013366650532,0.590961773009396,False
80,0.06642560566063263,0.5801905365906406,False
81,0.05729841484232546,0.5678984179580828,False
82,0.04161978605433831,0.556547540239686,False
83,0.025554126464444177,0.5451391519719854,False
84,0.021590228322044196,0.5332352942991013,False
85,0.017703441435964227,0.5221710873943801,False
86,0.015403243643272144,0.5097804422852119,False
87,0.013553291946026995,0.4986254942762326,False
88,0.012853665180334182,0.4861757650193535,False
89,0.010639542679619024,0.472416321242205,False
90,0.008565997687362856,0.45817904757799016,False
91,0.005370739264744215,0.4444758835962198,False
92,0.004877461309018984,0.43017613447667935,False
93,4.93143303555771e-16,0.41103154228057814,False
