字段名,所属维度,主要载荷,共同度,正负极
词形丰富度TTR,词汇丰富度与词汇扩展,0.9740146206946739,1.0051011560469354,正向
Guiraud值,词汇丰富度与词汇扩展,0.6558657300175468,0.4791897735631698,正向
MATTR-50,词汇丰富度与词汇扩展,0.7969805061064226,0.6586049960615716,正向
仅出现一次词占比,词汇丰富度与词汇扩展,0.8433180887542207,0.8387025352091438,正向
名词去重词每千字,词汇丰富度与词汇扩展,0.6342467318798383,0.5070518905958266,正向
名词TTR,词汇丰富度与词汇扩展,0.7206646966154211,0.5349653460950521,正向
动词去重词每千字,词汇丰富度与词汇扩展,0.7131834415905083,0.9366969158067461,正向
动词TTR,词汇丰富度与词汇扩展,0.726755533203214,0.8379020399084797,正向
1级词汇内部TTR,词汇丰富度与词汇扩展,0.5962945875803474,0.5103070449596283,正向
4级词汇内部TTR,词汇丰富度与词汇扩展,0.5081551498572511,0.3977889866807778,正向
非HSK词汇种类每千字,词汇丰富度与词汇扩展,0.6439714939877802,0.5431085910850372,正向
时间词每千字,基础词汇与叙事推进,0.47810958908077683,0.32060520001130205,正向
结构助词的每千字,基础词汇与叙事推进,-0.4708746330314853,0.42991522678563715,负向
趋向动词每千字,基础词汇与叙事推进,0.6605463134924936,0.46783602547897674,正向
1级词汇占比,基础词汇与叙事推进,0.5449497309916045,0.6679681060550061,正向
1级词汇种类每千字,基础词汇与叙事推进,0.603971596599495,0.5186099003810728,正向
2级词汇占比,基础词汇与叙事推进,0.5921474294690957,0.3883508390874174,正向
2级词汇种类每千字,基础词汇与叙事推进,0.5943202402032326,0.40365640383668294,正向
4级词汇占比,基础词汇与叙事推进,-0.7302421456132824,0.5384514574710654,负向
5级词汇占比,基础词汇与叙事推进,-0.6866546321798133,0.58864555490528,负向
6级词汇占比,基础词汇与叙事推进,-0.45672384614897515,0.36498033670817115,负向
中等词汇占比,基础词汇与叙事推进,-0.9133729585656012,0.9055256570881551,负向
高等词汇占比,基础词汇与叙事推进,-0.45968657073323693,0.4080023574827485,负向
非HSK专名每千字,基础词汇与叙事推进,0.5284238186577976,0.581376028578043,正向
词汇密度,人称指涉与信息密度,-0.4806682607490801,0.35850206564362364,负向
平均词长,人称指涉与信息密度,-0.5163295704631852,0.46509384547900257,负向
代词每千字,人称指涉与信息密度,0.6988135958655414,0.6270340330859673,正向
第一人称单数代词每千字,人称指涉与信息密度,0.5690609489353591,0.5102423725677954,正向
第三人称代词每千字,人称指涉与信息密度,0.5882516841885597,0.3490369060839114,正向
非HSK词汇占比,人称指涉与信息密度,-0.7435534484045808,0.6737436824706468,负向
非HSK词汇TTR,人称指涉与信息密度,0.6248765110114388,0.5968270407215293,正向
平均句长_字,句法延展与分句复杂度,0.8536235767224923,0.7675574777445296,正向
句长标准差_字,句法延展与分句复杂度,0.7293515208006405,0.5442131599788884,正向
超过30字长句每千字,句法延展与分句复杂度,0.5832628882833294,0.36960126571108126,正向
逗号每千字,句法延展与分句复杂度,0.5126330198531819,0.3743330762859717,正向
平均每句分句数,句法延展与分句复杂度,0.9713611335000217,0.9563495458342685,正向
动词每千字,动作过程与动词链,0.9518072851627851,0.935151908426169,正向
情态动词每千字,动作过程与动词链,0.5651033636564697,0.3757881194447508,正向
连续动词结构每千字,动作过程与动词链,0.7637788652372841,0.6253699205548493,正向
