维度名称,模型项,系数,稳健标准误,t值,p值,95%CI下限,95%CI上限,样本量,调整R平方,BH校正p值
词汇丰富度与词汇扩展,Intercept,0.4425704445842458,0.07628198077836439,5.801769173641735,6.561885292220563e-09,0.293060509589275,0.5920803795792167,620,0.25040523221364364,
词汇丰富度与词汇扩展,C(code)[T.J2],0.25583955272885783,0.11724831280092937,2.182031848622302,0.029107182280704982,0.02603708239094968,0.48564202306676596,620,0.25040523221364364,
词汇丰富度与词汇扩展,C(code)[T.Y1],-0.43043704468696314,0.09971616203812969,-4.316622660651256,1.584346562038247e-05,-0.6258771309582575,-0.2349969584156688,620,0.25040523221364364,
词汇丰富度与词汇扩展,C(code)[T.Y2],-1.0958954995671448,0.10281448918264394,-10.658959727167932,1.5835877280738573e-26,-1.29740819545401,-0.8943828036802797,620,0.25040523221364364,
词汇丰富度与词汇扩展,score_z,0.009887874942038355,0.03519031578092135,0.2809828420863199,0.7787235599387792,-0.05908387659315899,0.0788596264772357,620,0.25040523221364364,0.7787235599387792
词汇丰富度与词汇扩展,is_japan,-0.37788908271131055,0.09139678858102157,-4.134599131744316,3.555747462666189e-05,-0.5570234966327345,-0.1987546687898866,620,0.25040523221364364,5.926245771110315e-05
基础词汇与叙事推进,Intercept,0.15897637709384085,0.058716987169014224,2.707502287817228,0.006779160352401062,0.04389319696187251,0.2740595572258092,620,0.5142530620008825,
基础词汇与叙事推进,C(code)[T.J2],0.5699274416676643,0.09278817218685911,6.1422423595103295,8.136458424800367e-10,0.3880659659901193,0.7517889173452093,620,0.5142530620008825,
基础词汇与叙事推进,C(code)[T.Y1],-1.0783800515943198,0.08228627403407182,-13.105223978762254,3.073535335913628e-39,-1.2396581851230941,-0.9171019180655456,620,0.5142530620008825,
基础词汇与叙事推进,C(code)[T.Y2],-0.6122585092884753,0.08079674400125215,-7.577762159314077,3.5156612722629074e-14,-0.7706172175990321,-0.4538998009779184,620,0.5142530620008825,
基础词汇与叙事推进,score_z,-0.08159109466103891,0.02935354412786792,-2.7795994345901573,0.0054425987959120315,-0.13912298397026723,-0.024059205351810595,620,0.5142530620008825,0.027212993979560157
基础词汇与叙事推进,is_japan,0.36656033990324044,0.07536466503538677,4.863822319532973,1.1514028194308474e-06,0.2188483107269573,0.5142723690795236,620,0.5142530620008825,2.8785070485771185e-06
人称指涉与信息密度,Intercept,0.9983910080633194,0.060784963732509516,16.424966747645712,1.2675328377918834e-60,0.8792546683460274,1.1175273477806114,620,0.5770053788858668,
人称指涉与信息密度,C(code)[T.J2],-0.942084250556622,0.09075889709311932,-10.380076011611692,3.05531827739727e-25,-1.119968420135713,-0.7642000809775311,620,0.5770053788858668,
人称指涉与信息密度,C(code)[T.Y1],-2.1217970357946183,0.07075336076731502,-29.988639589468043,1.3802880996722115e-197,-2.260471074683725,-1.9831229969055117,620,0.5770053788858668,
人称指涉与信息密度,C(code)[T.Y2],-1.123954138323817,0.08048569149475959,-13.964645360560732,2.561774386625023e-44,-1.2817031949243476,-0.9662050817232865,620,0.5770053788858668,
人称指涉与信息密度,score_z,-0.024430178164970257,0.02583499489428628,-0.9456234949894758,0.34434065626213683,-0.07506583769854755,0.026205481368607036,620,0.5770053788858668,0.5739010937702281
人称指涉与信息密度,is_japan,0.14688812597744694,0.0675425510896589,2.17474945212628,0.029648896876533947,0.014507158417758903,0.27926909353713497,620,0.5770053788858668,0.029648896876533947
句法延展与分句复杂度,Intercept,0.24285970279145166,0.08537675115341081,2.844564820170595,0.004447213617275076,0.07552434541372796,0.4101950601691754,620,0.0642693731753855,
句法延展与分句复杂度,C(code)[T.J2],-0.061934234064936866,0.11813346927046685,-0.5242733871053791,0.600088404212693,-0.2934715792038211,0.16960311107394738,620,0.0642693731753855,
句法延展与分句复杂度,C(code)[T.Y1],-0.06820393005343081,0.12056010754560655,-0.5657255243209701,0.5715803812035782,-0.30449739881509524,0.16808953870823362,620,0.0642693731753855,
句法延展与分句复杂度,C(code)[T.Y2],-0.21696803185006758,0.11445312247032155,-1.8956934259817055,0.05800059512292837,-0.4412920298100498,0.007355966109914652,620,0.0642693731753855,
句法延展与分句复杂度,score_z,0.09554607246043711,0.040682920804197845,2.3485548867125154,0.018846421315480415,0.015809012898314045,0.17528313202256018,620,0.0642693731753855,0.04711605328870103
句法延展与分句复杂度,is_japan,-0.47205636758825664,0.08893147225227836,-5.308091226120041,1.1077919756343989e-07,-0.6463588502948454,-0.2977538848816679,620,0.0642693731753855,5.538959878171994e-07
动作过程与动词链,Intercept,-0.06931584831650132,0.07077622453783629,-0.9793662881727428,0.32739902797511544,-0.2080346993723805,0.06940300273937784,620,0.22163523597945256,
动作过程与动词链,C(code)[T.J2],-0.32643216489188576,0.12013476320604809,-2.7172165340019734,0.006583352150003152,-0.5618919740669877,-0.09097235571678386,620,0.22163523597945256,
动作过程与动词链,C(code)[T.Y1],0.825355990388775,0.10998012641994503,7.5045921227373285,6.162016363149306e-14,0.6097989035905207,1.0409130771870294,620,0.22163523597945256,
动作过程与动词链,C(code)[T.Y2],0.07964952101837708,0.10030440004189743,0.7940780363085492,0.42715000311145945,-0.11694349055463979,0.276242532591394,620,0.22163523597945256,
动作过程与动词链,score_z,-0.017267501237885313,0.036402539898173124,-0.47434880330292256,0.6352511950951644,-0.088615168384087,0.05408016590831638,620,0.22163523597945256,0.7787235599387792
动作过程与动词链,is_japan,-0.22781972074944265,0.1000857328565496,-2.276245717019138,0.022831307055213516,-0.423984152514577,-0.03165528898430828,620,0.22163523597945256,0.028539133819016894
