维度名称,篇名代码,样本量,均值,标准差,中位数,四分位距
词汇丰富度与词汇扩展,J1,155,0.39381056294407846,0.944032652364737,0.44417092782698814,1.2105254091422828
词汇丰富度与词汇扩展,J2,155,0.41072669563610453,0.8803123829651809,0.3626639828768319,1.2494955829702794
词汇丰富度与词汇扩展,Y1,155,-0.021998517250835188,0.8184039806405192,-0.012004220765336901,0.9504703218215235
词汇丰富度与词汇扩展,Y2,155,-0.7825387413293479,0.8607159056609104,-0.7699926919755152,1.0140742571341814
基础词汇与叙事推进,J1,155,0.20627448546845303,0.7415158465270907,0.17198865412175096,1.0510658327474447
基础词汇与叙事推进,J2,155,1.0079626581717107,0.6977395234432948,1.0800669771702358,0.8656337142193047
基础词汇与叙事推进,Y1,155,-0.8862949986382502,0.7218781142835804,-0.7704914770919719,0.883456634777295
基础词汇与叙事推进,Y2,155,-0.32794214500191393,0.7052735713773508,-0.32202686000795633,1.111613308616393
人称指涉与信息密度,J1,155,1.0173443146410521,0.7428018442824811,0.9519891565558755,0.8483166937920383
人称指涉与信息密度,J2,155,0.1681312663153358,0.7011521006010508,0.10187174452617456,0.9898561463126736
人称指涉与信息密度,Y1,155,-1.1101387131268865,0.4617805772710855,-1.1485068045589393,0.5710530192940995
人称指涉与信息密度,Y2,155,-0.07533686782950118,0.6682704637262602,-0.1987187891555131,0.927508644386241
句法延展与分句复杂度,J1,155,0.18194920374780582,1.0732104708523265,0.10896745422590988,1.432225906432886
句法延展与分句复杂度,J2,155,-0.17844647563099675,0.8254950617262204,-0.15659501416462787,1.149202360426918
句法延展与分句复杂度,Y1,155,0.13201842340746864,1.08491628552402,-0.04697632282688595,1.4701629170894774
句法延展与分句复杂度,Y2,155,-0.1355211515242777,0.9527941428068988,-0.32086263251181,1.1280815489222589
动作过程与动词链,J1,155,-0.09871194131642919,0.8810900829632442,-0.1843703140899542,1.055853144617287
动作过程与动词链,J2,155,-0.5691849619079609,0.7764107968152328,-0.626702718297651,0.9650153212443526
动作过程与动词链,Y1,155,0.7354628769723237,1.0370847339911482,0.6670893083156911,1.5287307075477106
动作过程与动词链,Y2,155,-0.06756597374793386,0.8245646969423617,-0.08983868770795823,1.0788206230145416
