native_code,learner_code,url,article_id,title,published_date,grade,school_stage,genre_label,source_label,han_count,topic_tier,topic_score,status,reason,text_hash,query,nominal_length
NY2,Y2,https://www.zuowen.com/e/20120522/4fbb7662c0239.shtml,2245096,“心”的教育方式,2012-05-22,高一,高中,议论文,作文网原创,348,精确,119,入选,,fee1760e2145192a0f36750e21ac965f1a4434f740ec4c02ebaa16c81cbbde44,高中栏目:https://www.zuowen.com/gaozhong/gaoyi/yilunwen/,350
NY2,Y2,https://www.zuowen.com/e/20090926/4b8bd34a67573.shtml,1048870,心心相印,2009-09-26,高三,高中,议论文,网络资源,550,精确,114,入选,,037c90ec0744b076ef7ba18e23e1594b8ef1b6ca6e9d24cbc231fd5ee3c265df,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,650
NY2,Y2,https://www.zuowen.com/e/20100420/4bcdc2fc85bed.shtml,1478515,在孩子的角度谈教育问题,2010-04-20,高一,高中,议论文,作文网,1666,精确,118,拒绝,正文汉字数超出200-787,1a0a4047af04b6c72f822ccbdc1a2bca72c0d113a0b527ced98f6dee542d8b4b,高中栏目:https://www.zuowen.com/gaozhong/gaoyi/yilunwen/,1500
NY2,Y2,https://www.zuowen.com/e/20140102/52c57d1f8ef9d.shtml,2592223,“杯”聚人生,2014-01-02,高一,高中,议论文,作文网原创,681,不匹配,11,拒绝,主题不匹配,4d32e6d6d4f51348f85c699fe99e34eefe7ce60670ea3de243f0e6d4530496bb,高中栏目:https://www.zuowen.com/gaozhong/gaoyi/yilunwen/,800
NY2,Y2,https://www.zuowen.com/e/20180424/5adf351f756c4.shtml,2971463,勿忘初心,2018-04-24,高三,高中,话题作文,作文网高中作文文库（作文网原创）,685,不匹配,2,拒绝,体裁不是议论文,7886e07c87c457faa9d98aaeb6c9c467717614c6e6247ba224a1522e830db098,高中作文文库:https://www.zuowen.com/wk/gz-0-6-18-0-2.html,750
NY2,Y2,https://www.zuowen.com/e/20190729/5d3eb223a1da2.shtml,,高一议论文作文：致富与学历,2019-07-29,,,,作文网高中年级栏目,0,,0.0,失败,未找到 con_content 正文,,高中栏目:https://www.zuowen.com/gaozhong/gaoyi/yilunwen/,650
NY2,Y2,https://www.zuowen.com/e/20250515/68258a340bc51.shtml,3348645,高一议论文：“杯”聚人生,2025-05-15,高一,高中,议论文,网络转载,681,不匹配,11,拒绝,主题不匹配,4d32e6d6d4f51348f85c699fe99e34eefe7ce60670ea3de243f0e6d4530496bb,高中栏目:https://www.zuowen.com/gaozhong/gaoyi/yilunwen/,800
NY2,Y2,https://www.zuowen.com/e/20250603/683e5e35b942a.shtml,3349876,高二议论文：论惩戒 12,2025-06-03,高二,高中,议论文,网络转载,820,精确,114,拒绝,正文汉字数超出200-787,ccf0ffcfc62414fe5d7e95b4ebb7cca8f2f4d93a1b6979e89885d2c15f379942,高中栏目:https://www.zuowen.com/gaozhong/gaoer/yilunwen/,900
NY2,Y2,https://www.zuowen.com/e/20140902/540578296b462.shtml,2719440,2014年开学第一课观后感：父母应该教给孩子什么,2014-09-02,未标注,未核验,,作文网整理,945,精确,118,拒绝,面包屑不属于允许的高中或初中备选作文,e09bf67430a091b0b08fbb67ef45d795fba69be649fbf397e790571b077be123,父母是孩子的第一任老师,1200
NY2,Y2,https://www.zuowen.com/e/20140916/5417e9919b5af.shtml,2722282,[开学第一课]父母，我们的老师,2014-09-16,初一,未核验,,作文网原创,527,精确,116,拒绝,面包屑不属于允许的高中或初中备选作文,1c85564e0c8754d4bfc94f9f31b067e7fabed47f63e505ed2af6a0b56a5e3e8d,父母是孩子的第一任老师,600
NY2,Y2,https://www.zuowen.com/e/20090922/4b8bd314926cb.shtml,1028122,留一道缝隙,2009-09-22,高一,高中,议论文,网络资源,542,不匹配,11,拒绝,主题不匹配,1e78ac08f72fed628a658a0257d358f7ef77c897fafd23b2cdd75eefe813bfc9,高中栏目:https://www.zuowen.com/gaozhong/gaoyi/yilunwen/,600
NY2,Y2,https://www.zuowen.com/e/20120409/4f823dad2a0ed.shtml,2218346,没有最好，只有最合适,2012-04-09,高一,高中,议论文,作文网原创,796,近似,87,拒绝,正文汉字数超出200-787,6c19f491a9c3c6d53e60586bb5c0b0ac9d1e657a92ccd35741d50656592009d4,高中栏目:https://www.zuowen.com/gaozhong/gaoyi/yilunwen/,900
NY2,Y2,https://www.zuowen.com/e/20090919/4b8bd00b05281.shtml,1013617,人生应记住的五句话,2009-09-19,高三,高中,议论文,网络资源,782,不匹配,9,拒绝,主题不匹配,8776727918bb4b63def3ef70ba160d0e7e19b201f0053a4b6f12a01310e68215,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,800
NY2,Y2,https://www.zuowen.com/e/20090921/4b8bd30c05cc7.shtml,1024111,决定人生命运的5句话,2009-09-21,高三,高中,议论文,网络资源,1485,宽泛,29,拒绝,正文汉字数超出200-787,f3f7e2f86d5f7dba3060bede574259c00c12ac0a3e97181d400be3be3c25dafe,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,1500
NY2,Y2,https://www.zuowen.com/e/20140630/53b165d0acc4c.shtml,2698181,印记,2014-06-30,高三,高中,议论文,作文网原创,1418,近似,85,拒绝,正文汉字数超出200-787,6f721822732524b832db5e60681d73e0383e7c7a2babdfe872d14fd89357bd1d,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,1500
NY2,Y2,https://www.zuowen.com/e/20141222/54979ef847045.shtml,2740048,孤独为伴,2014-12-22,高二,高中,议论文,作文网原创,971,宽泛,41,拒绝,正文汉字数超出200-787,e90e4fd69801230c44a5519ace8a959d4f0bf3eda4f3c428decc26dfe949fa6d,高中栏目:https://www.zuowen.com/gaozhong/gaoer/yilunwen/,1200
NY2,Y2,https://www.zuowen.com/e/20190710/5d258ce804bd8.shtml,3023994,高二议论文作文：父与虎,2019-07-10,高二,高中,议论文,网络资源,982,近似,86,拒绝,正文汉字数超出200-787,f6320737b45748a88b483594a872bfec16a93dc578b485d6f5b3e7b75208f7e6,高中栏目:https://www.zuowen.com/gaozhong/gaoer/yilunwen/,1000
NY2,Y2,https://www.zuowen.com/e/20210306/604390ebe230f.shtml,3118455,高三议论文：父母老师的成长教育,2021-03-06,高三,高中,议论文,网络资源,749,精确,130,入选,,a6e33ebaab85a8974279f59d9f63473d2a0b229db8386751ac216cf159f02674,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,800
NY2,Y2,https://www.zuowen.com/e/20210306/604390e70f7f6.shtml,3118454,高三议论文：家教如土，师教如雨,2021-03-06,高三,高中,议论文,网络资源,771,近似,90,候选,,7fb88966b96d2f77aed773433b1ff1accebc544d2aed3286f2d528dc79405ac6,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,800
NY2,Y2,https://www.zuowen.com/e/20230211/63e780fc59177.shtml,3203549,高一议论文：里边·外边,2023-02-11,高一,高中,议论文,网络资源,559,宽泛,32,入选,,15a6a002ef6d32712f2938e3c64ea365d6470e2937bb244090c6e60bdacae664,高中栏目:https://www.zuowen.com/gaozhong/gaoyi/yilunwen/,650
