敏感性样本,对应题目,维度,母语样本量,均值差_母语减学习者
全部母语样本,J1,词汇丰富度与词汇扩展,45,-0.034678079171127085
全部母语样本,J1,基础词汇与叙事推进,45,-0.19535890476539558
全部母语样本,J1,人称指涉与信息密度,45,-0.43185180368873877
全部母语样本,J1,句法延展与分句复杂度,45,1.2352688173419402
全部母语样本,J1,动作过程与动词链,45,-0.08798841124770634
全部母语样本,J2,词汇丰富度与词汇扩展,45,-0.016886705867669383
全部母语样本,J2,基础词汇与叙事推进,45,-0.9949568183268787
全部母语样本,J2,人称指涉与信息密度,45,0.030474377513836692
全部母语样本,J2,句法延展与分句复杂度,45,1.8245612679125516
全部母语样本,J2,动作过程与动词链,45,0.7394292906655715
全部母语样本,Y1,词汇丰富度与词汇扩展,45,0.46435038933909106
全部母语样本,Y1,基础词汇与叙事推进,45,-0.529777751308022
全部母语样本,Y1,人称指涉与信息密度,45,0.2443035466951724
全部母语样本,Y1,句法延展与分句复杂度,45,1.2984270526683153
全部母语样本,Y1,动作过程与动词链,45,-0.36239034884289156
全部母语样本,Y2,词汇丰富度与词汇扩展,45,0.9429156998754069
全部母语样本,Y2,基础词汇与叙事推进,45,-0.7200710469790226
全部母语样本,Y2,人称指涉与信息密度,45,-0.3065844300106715
全部母语样本,Y2,句法延展与分句复杂度,45,1.2451198975703082
全部母语样本,Y2,动作过程与动词链,45,0.7986360698759526
精确或近似主题,J1,词汇丰富度与词汇扩展,9,-0.11281556991644903
精确或近似主题,J1,基础词汇与叙事推进,9,-0.41703975357506606
精确或近似主题,J1,人称指涉与信息密度,9,-0.49402830721435964
精确或近似主题,J1,句法延展与分句复杂度,9,2.350123078314015
精确或近似主题,J1,动作过程与动词链,9,-0.19981145450187904
精确或近似主题,J2,词汇丰富度与词汇扩展,8,0.257368180836017
精确或近似主题,J2,基础词汇与叙事推进,8,-0.7684844245599856
精确或近似主题,J2,人称指涉与信息密度,8,-0.15993693770072798
精确或近似主题,J2,句法延展与分句复杂度,8,3.112038576844716
精确或近似主题,J2,动作过程与动词链,8,1.0348259903753623
精确或近似主题,Y1,词汇丰富度与词汇扩展,2,1.2871450421954773
精确或近似主题,Y1,基础词汇与叙事推进,2,-0.4753501145166763
精确或近似主题,Y1,人称指涉与信息密度,2,-0.805518101718274
精确或近似主题,Y1,句法延展与分句复杂度,2,1.3820846227503814
精确或近似主题,Y1,动作过程与动词链,2,-0.6875889755537887
精确或近似主题,Y2,词汇丰富度与词汇扩展,4,0.6120856859521373
精确或近似主题,Y2,基础词汇与叙事推进,4,-1.2620761823739957
精确或近似主题,Y2,人称指涉与信息密度,4,-1.1924418528913603
精确或近似主题,Y2,句法延展与分句复杂度,4,1.4435104017969063
精确或近似主题,Y2,动作过程与动词链,4,0.8875856921283546
2005至2012年,J1,词汇丰富度与词汇扩展,33,-0.01001727625509824
2005至2012年,J1,基础词汇与叙事推进,33,-0.2588095335966553
2005至2012年,J1,人称指涉与信息密度,33,-0.4834756994025897
2005至2012年,J1,句法延展与分句复杂度,33,0.8967700700343897
2005至2012年,J1,动作过程与动词链,33,-0.007629456990022876
2005至2012年,J2,词汇丰富度与词汇扩展,29,-0.08377617653815561
2005至2012年,J2,基础词汇与叙事推进,29,-0.8685423782501911
2005至2012年,J2,人称指涉与信息密度,29,0.10847435223134413
2005至2012年,J2,句法延展与分句复杂度,29,1.562091886639672
2005至2012年,J2,动作过程与动词链,29,0.7646866374841332
2005至2012年,Y1,词汇丰富度与词汇扩展,24,0.3746622281034456
2005至2012年,Y1,基础词汇与叙事推进,24,-0.5849342153996846
2005至2012年,Y1,人称指涉与信息密度,24,0.2960700677213616
2005至2012年,Y1,句法延展与分句复杂度,24,1.3514505059901267
2005至2012年,Y1,动作过程与动词链,24,-0.3873040138965806
2005至2012年,Y2,词汇丰富度与词汇扩展,33,0.8618998698990317
2005至2012年,Y2,基础词汇与叙事推进,33,-0.6305254403492719
2005至2012年,Y2,人称指涉与信息密度,33,-0.28560495396181773
2005至2012年,Y2,句法延展与分句复杂度,33,1.1885044028328808
2005至2012年,Y2,动作过程与动词链,33,0.7410917078025038
