对应题目,学习者代码,母语代码,维度,学习者样本量,母语样本量,学习者均值,母语均值,均值差_母语减学习者,Bootstrap95%CI下限,Bootstrap95%CI上限,Welch_t,Welch_p值,Hedges_g_母语减学习者,Hedges_g_Bootstrap95%CI下限,Hedges_g_Bootstrap95%CI上限,Holm校正p值,Holm显著
J1,J1,NJ1,词汇丰富度与词汇扩展,155,45,0.39381056294407846,0.35913248377295137,-0.034678079171127085,-0.3579255862561231,0.2902388666347063,-0.20834108881374436,0.8355789521180897,-0.03616085916186879,-0.36508952017078833,0.3187985168325694,1.0,False
J1,J1,NJ1,基础词汇与叙事推进,155,45,0.20627448546845303,0.010915580703057455,-0.19535890476539558,-0.44173162759194423,0.03599476601545488,-1.5653641861250642,0.12188290446861262,-0.2629164673615255,-0.5917458472617615,0.051306137642806705,0.6094145223430631,False
J1,J1,NJ1,人称指涉与信息密度,155,45,1.0173443146410521,0.5854925109523134,-0.43185180368873877,-0.655668982101906,-0.21288083604114252,-3.809919085155436,0.0002699540250932157,-0.5954404874429536,-0.9596983222016232,-0.28793063861092977,0.002699540250932157,True
J1,J1,NJ1,句法延展与分句复杂度,155,45,0.18194920374780582,1.417218021089746,1.2352688173419402,0.7369203716333812,1.8283829446143842,4.370363744456447,5.7691605736106734e-05,0.9667149206027671,0.6335884077240296,1.3364109265877502,0.0006346076630971741,True
J1,J1,NJ1,动作过程与动词链,155,45,-0.09871194131642919,-0.18670035256413553,-0.08798841124770634,-0.359096303173103,0.19667703786627497,-0.5919556662411036,0.5557393524907066,-0.09959101292076805,-0.4132058728834012,0.2158760067147802,1.0,False
J2,J2,NJ2,词汇丰富度与词汇扩展,155,45,0.41072669563610453,0.39383998976843515,-0.016886705867669383,-0.2795848795524034,0.24754731959682702,-0.12548501516038094,0.9004520200614579,-0.019637893408050052,-0.31466231750539103,0.30439662680294893,1.0,False
J2,J2,NJ2,基础词汇与叙事推进,155,45,1.0079626581717107,0.013005839844832097,-0.9949568183268787,-1.231789995727793,-0.7530481433613301,-8.465908231666146,2.0825187144146702e-12,-1.4227193216249,-1.8384167490519503,-1.063110369322835,4.16503742882934e-11,True
J2,J2,NJ2,人称指涉与信息密度,155,45,0.1681312663153358,0.19860564382917248,0.030474377513836692,-0.17620232327100396,0.24064869436531283,0.2838004226908776,0.7772927217641961,0.044474731441007546,-0.2630229962811804,0.3518384691571619,1.0,False
J2,J2,NJ2,句法延展与分句复杂度,155,45,-0.17844647563099675,1.6461147922815549,1.8245612679125516,1.3622185929179216,2.3109549370256923,7.508167571596512,8.331780033157078e-10,1.7517971220285158,1.4074014894045526,2.1571119410531425,1.583038206299845e-08,True
J2,J2,NJ2,动作过程与动词链,155,45,-0.5691849619079609,0.1702443287576106,0.7394292906655715,0.48492930211322205,1.0087881343515483,5.473052528608359,6.563487803482234e-07,0.9412294857896369,0.6040353650908465,1.331056396204235,8.532534144526904e-06,True
Y1,Y1,NY1,词汇丰富度与词汇扩展,155,45,-0.021998517250835188,0.4423518720882559,0.46435038933909106,0.16501890944782496,0.7624635423425443,2.9654784790903084,0.0042432168759008095,0.5440639374664643,0.19677200822684676,0.9094849422769161,0.033945735007206476,True
