维度,字段名,载荷方向,主要载荷,学习者均值,学习者标准差,维度原始和均值,维度原始和标准差
词汇丰富度与词汇扩展,词形丰富度TTR,1,0.974014620694674,0.5555844000629746,0.06247840758794432,0.0,8.024103468653117
词汇丰富度与词汇扩展,Guiraud值,1,0.6558657300175468,8.685027870785238,1.0046429427629038,0.0,8.024103468653117
词汇丰富度与词汇扩展,MATTR-50,1,0.7969805061064226,0.7731186410220151,0.0415777342781069,0.0,8.024103468653117
词汇丰富度与词汇扩展,仅出现一次词占比,1,0.8433180887542207,0.7014835841387205,0.057353522614293995,0.0,8.024103468653117
词汇丰富度与词汇扩展,名词去重词每千字,1,0.6342467318798383,80.29463512323984,17.046291280539766,0.0,8.024103468653117
词汇丰富度与词汇扩展,名词TTR,1,0.7206646966154211,0.6283791207972982,0.1268772323280225,0.0,8.024103468653117
词汇丰富度与词汇扩展,动词去重词每千字,1,0.7131834415905083,105.15806650347474,18.802714503857402,0.0,8.024103468653117
词汇丰富度与词汇扩展,动词TTR,1,0.726755533203214,0.6470890137636042,0.10190453548062596,0.0,8.024103468653117
词汇丰富度与词汇扩展,1级词汇内部TTR,1,0.5962945875803474,0.35430903489109955,0.05967863877778417,0.0,8.024103468653117
词汇丰富度与词汇扩展,4级词汇内部TTR,1,0.5081551498572511,0.7268789325934475,0.1429514647045535,0.0,8.024103468653117
词汇丰富度与词汇扩展,非HSK词汇种类每千字,1,0.6439714939877802,58.204427740403176,18.099404323854127,0.0,8.024103468653117
基础词汇与叙事推进,时间词每千字,1,0.4781095890807768,9.937813340442734,9.834022570212886,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,结构助词的每千字,-1,-0.4708746330314853,53.69479259332812,13.394368446994962,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,趋向动词每千字,1,0.6605463134924936,8.271589487860034,7.257374645909449,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,1级词汇占比,1,0.5449497309916045,0.454932535668579,0.0770582010537037,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,1级词汇种类每千字,1,0.603971596599495,106.5889244835936,25.041107318757803,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,2级词汇占比,1,0.5921474294690957,0.08732220579894981,0.02750808601488713,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,2级词汇种类每千字,1,0.5943202402032326,38.50809215962688,11.418702915048506,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,4级词汇占比,-1,-0.7302421456132824,0.11232125146447652,0.033846716249108254,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,5级词汇占比,-1,-0.6866546321798133,0.06277187683493053,0.033830065806121,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,6级词汇占比,-1,-0.4567238461489751,0.02431222178306146,0.015537033675144276,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,中等词汇占比,-1,-0.9133729585656012,0.1994053500824685,0.06472401871107884,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,高等词汇占比,-1,-0.4596865707332369,0.023471473759760556,0.017192995826118884,3.6673173458585816e-16,8.448495635201608
基础词汇与叙事推进,非HSK专名每千字,1,0.5284238186577976,7.093375413617624,11.693772308643481,3.6673173458585816e-16,8.448495635201608
人称指涉与信息密度,词汇密度,-1,-0.4806682607490801,0.6341740898927968,0.04318969108154848,-3.4839514785656523e-15,5.120633567409215
人称指涉与信息密度,平均词长,-1,-0.5163295704631852,1.5165444249780802,0.07406888126726763,-3.4839514785656523e-15,5.120633567409215
人称指涉与信息密度,代词每千字,1,0.6988135958655414,70.87770447054152,29.42975453992165,-3.4839514785656523e-15,5.120633567409215
人称指涉与信息密度,第一人称单数代词每千字,1,0.5690609489353591,26.644848042248153,22.170995718994934,-3.4839514785656523e-15,5.120633567409215
人称指涉与信息密度,第三人称代词每千字,1,0.5882516841885597,12.097808215108781,12.668381105161892,-3.4839514785656523e-15,5.120633567409215
人称指涉与信息密度,非HSK词汇占比,-1,-0.7435534484045808,0.12872002067369495,0.0421186119825183,-3.4839514785656523e-15,5.120633567409215
人称指涉与信息密度,非HSK词汇TTR,1,0.6248765110114388,0.7047828990379886,0.1447212616066629,-3.4839514785656523e-15,5.120633567409215
句法延展与分句复杂度,平均句长_字,1,0.8536235767224923,27.05931570219171,7.754571745108321,-1.1460366705808067e-16,3.9394698798101473
句法延展与分句复杂度,句长标准差_字,1,0.7293515208006405,12.494104827043508,5.458715627841747,-1.1460366705808067e-16,3.9394698798101473
句法延展与分句复杂度,超过30字长句每千字,1,0.5832628882833294,10.79312774804958,4.8204372126646575,-1.1460366705808067e-16,3.9394698798101473
句法延展与分句复杂度,逗号每千字,1,0.5126330198531819,52.44613643520098,14.937985951003526,-1.1460366705808067e-16,3.9394698798101473
句法延展与分句复杂度,平均每句分句数,1,0.9713611335000216,2.485406327348965,0.6877080109964762,-1.1460366705808067e-16,3.9394698798101473
动作过程与动词链,动词每千字,1,0.9518072851627852,163.5780948570822,22.953232941217124,4.584146682323227e-16,2.5524521790496237
动作过程与动词链,情态动词每千字,1,0.5651033636564697,13.006793569243818,8.4170620394626,4.584146682323227e-16,2.5524521790496237
动作过程与动词链,连续动词结构每千字,1,0.7637788652372841,26.300358420725253,10.433722626530326,4.584146682323227e-16,2.5524521790496237
