母语代码,对应学习者代码,对应学习者篇名,作文文件名,网页文章ID,作文题目,体裁,网站体裁,学段,年级,发布日期,来源类型,来源URL,主题匹配层级,主题匹配得分,正文汉字数,目标汉字数,目标篇幅相对偏差,目标篇幅标准差偏差,篇幅范围扩展样本,学段扩展样本,年代扩展样本,正文SHA256,审核状态
NJ1,J1,记对我影响最大的一个人,NJ1_001,2424894,八年六班的老师们,记叙文,写人作文,高中,高一,2013-04-05,作文网原创,https://www.zuowen.com/e/20130405/515e271dd1471.shtml,扩展,50,262,201,0.3034825870646766,0.7098744686002245,False,False,True,f30c99e5b280be78590f7e00f9c03e4f347fd7d087ba16a75822b90517348926,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_002,2717458,我的奶奶,记叙文,写人作文,高中,高一,2014-08-26,作文网原创,https://www.zuowen.com/e/20140826/53fc446cd81ba.shtml,扩展,63,296,236,0.2542372881355932,0.698237182229729,False,False,True,79bd3e3c8b42d934a3d1654eba4c0ae7724d1a69089a5062621c0054083b9814,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_003,772644,永远是朋友,记叙文,写人作文,高中,高一,2009-08-01,网络资源,https://www.zuowen.com/e/20090801/4b8bcd581e5a8.shtml,扩展,56,318,266,0.19548872180451127,0.6051388912657651,False,False,False,337b2543ac4d278362ad824b212db49079fb5c8888663d9015db74daf2d26e90,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_004,1048409,语文老师——陈顺海,记叙文,写人作文,高中,高三,2009-09-26,网络资源,https://www.zuowen.com/e/20090926/4b8bd3491d7ba.shtml,扩展,53,333,278,0.19784172661870503,0.6400507503772516,False,False,False,83620472610076d7162ba88def20e8ed912761bf3608326dd54ecc60385ea084,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_005,2939052,同学的关爱,记叙文,写人作文,高中,高三,2016-12-29,作文网高中作文文库（作文网原创）,https://www.zuowen.com/e/20161229/58647529dbe0f.shtml,扩展,52,341,302,0.1291390728476821,0.45385416844932386,False,False,True,f1038ccc385ab2549f9418dbe2fe328951f19da85c8f6ff7b21550e671d7a11d,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_006,1103860,我的新老师,记叙文,写人作文,高中,高一,2009-10-16,本站原创,https://www.zuowen.com/e/20091016/4b8bd3da6e873.shtml,扩展,60,379,315,0.20317460317460317,0.7447863277117109,False,False,False,7f8029fa29b37e1433940207cbd4ab56650798234628579b8ad01808e2765b43,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_007,879297,高中写人作文:妈妈的大嗓门(高一,记叙文,写人作文,高中,高一,2009-08-26,网络资源,https://www.zuowen.com/e/20090826/4b8bce89e8198.shtml,扩展,58,386,318,0.2138364779874214,0.7913354731936929,False,False,False,14c593804cbc5b05d101a39105fc6345917c600407e664b2e5cfd1415fb2653f,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_008,1926738,朋友,记叙文,写人作文,高中,高二,2011-06-15,E度作文网原创,https://www.zuowen.com/e/20110615/4df87c03d6f6c.shtml,扩展,58,392,322,0.21739130434782608,0.8146100459346838,False,False,False,3964e388c68296d030034907b54c908eba617bd0160a924799f8910a25e199a1,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_009,1021399,父亲,记叙文,写人作文,高中,高三,2009-09-21,网络资源,https://www.zuowen.com/e/20090921/4b8bd305a6a31.shtml,扩展,61,402,324,0.24074074074074073,0.9077083368986477,False,False,False,31d317ac7f068164414984785bc0fdeff823eb426c9072c80628b147e550f387,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_010,960574,印象最深的老师,记叙文,写人作文,高中,高三,2009-09-08,网络资源,https://www.zuowen.com/e/20090908/4b8bcf743617d.shtml,扩展,60,403,329,0.22492401215805471,0.8611591914166657,False,False,False,4d74a1a2bef9e2ec668c67e151e27869b10024b1112b4efbdccb3baf2ff96b6a,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_011,2411305,打不死的小强,记叙文,写人作文,高中,高一,2013-03-13,作文网原创,https://www.zuowen.com/e/20130313/51408377b7b34.shtml,扩展,59,406,331,0.22658610271903323,0.8727964777871612,False,False,True,934bf9da1d197d502e5769900bcd3c3280a97ada9e61614a48a9a914dbc53d9d,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_012,1002762,母亲,记叙文,写人作文,高中,高二,2009-09-16,网络资源,https://www.zuowen.com/e/20090916/4b8bcfec277dd.shtml,近似,88,412,293,0.4061433447098976,1.3848370780889625,False,False,False,0bd9e1e629924f6d220fbd948484b5eec6993d5e4ac248eead0e02e3387321b8,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_013,2663768,我敬佩的一个人,记叙文,写人作文,高中,高一,2014-04-23,作文网原创,https://www.zuowen.com/e/20140423/53575cfd35a23.shtml,扩展,58,419,338,0.23964497041420119,0.9426201960101341,False,False,True,d7967b47ae91d6d5e19dbe6d70a790716c25aa2905a6747069b1e1dba0456705,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_014,1003391,母亲节的母亲,记叙文,写人作文,高中,高二,2009-09-16,网络资源,https://www.zuowen.com/e/20090916/4b8bcfedda54f.shtml,扩展,60,451,343,0.31486880466472306,1.2568269280135123,False,False,False,2546d83fcab1e4938e19607b5ba7b9f57a1e2a19af85ef148aa4b005180d3fd3,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_015,1028907,想念海子,记叙文,写人作文,高中,高一,2009-09-22,网络资源,https://www.zuowen.com/e/20090922/4b8bd3168d566.shtml,扩展,53,455,347,0.3112391930835735,1.2568269280135123,False,False,False,711540c8c897de5f9d9a92066868b834e32682e13175e175674e0adc378fe0f7,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_016,583677,相信他，我的好爸爸,记叙文,写人作文,高中,高三,2009-06-16,网络,https://www.zuowen.com/e/20090616/4b8bcb3766167.shtml,扩展,57,489,360,0.35833333333333334,1.5012099417939173,False,False,False,d3cd19ea096168bc9e486a3d737110a8a5b360669e9256fd8b496161348c03d2,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_017,860389,我的爸爸,记叙文,写人作文,高中,高三,2009-08-23,网络资源,https://www.zuowen.com/e/20090823/4b8bce5526e41.shtml,扩展,61,494,365,0.35342465753424657,1.5012099417939173,False,False,False,6dc6d17b6ba3c72326f2e8487dc8024ff1d0b21e5ed7cc4cc424c60157341c71,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_018,1661087,与你相邻,记叙文,写人作文,高中,高三,2010-06-13,作文网,https://www.zuowen.com/e/20100613/4c148df2d742e.shtml,精确,112,496,305,0.6262295081967213,2.2227216967646375,False,False,False,8867ac992e4924289c8b433c54ce7a39b5f2c788c08520199ed05eb5dcd0077e,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_019,2212755,因为有你，我的朋友,记叙文,写人作文,高中,高二,2012-03-28,作文网原创,https://www.zuowen.com/e/20120328/4f7278f6e51d0.shtml,扩展,57,503,376,0.3377659574468085,1.4779353690529264,False,False,False,022b61cb8815615c5a4365ea76db18da640ca740aa15a39e842252dd5a15dff5,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_020,2733723,职业——老师,记叙文,写人作文,高中,高二,2014-11-12,作文网原创,https://www.zuowen.com/e/20141112/546326273aad1.shtml,扩展,58,508,400,0.27,1.2568269280135123,False,False,True,d39b0bebfc9fb8b1c3985f36ff4181894317b4aef14afe2d22a6eab9945b7638,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_021,2930844,我的朋友,记叙文,写人作文,高中,高二,2016-09-06,作文网高中作文文库（作文网原创）,https://www.zuowen.com/e/20160906/57ce87c652360.shtml,扩展,60,518,445,0.16404494382022472,0.8495219050461703,False,False,True,6e191cc7884b66953a713f5aabdca2404be83a481c7afdd927dc470ddf65b302,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_022,1803874,兄长？老师？,记叙文,写人作文,高中,高一,2011-01-18,作文网,https://www.zuowen.com/e/20110118/4d35b6f48d8d6.shtml,扩展,57,519,396,0.3106060606060606,1.4313862235709445,False,False,False,ad3f36ceb64d0d0684dad45d6651511b4380c97b01c05362e5d3cd9e8e1a270d,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_023,2659048,母爱似海,记叙文,写人作文,高中,高一,2014-04-17,作文网原创,https://www.zuowen.com/e/20140417/534fe27cb2d6a.shtml,扩展,58,521,413,0.26150121065375304,1.2568269280135123,False,False,True,e94e0e801f6bbd02df60302ac964ed2159729967980430d56d024eb8c0d28e67,自动筛选通过，待全文人工复核
NJ1,J1,记对我影响最大的一个人,NJ1_024,861987,蓝色的伞,记叙文,写人作文,高中,高二,2009-08-23,网络资源,https://www.zuowen.com/e/20090823/4b8bce59c236f.shtml,扩展,58,535,411,0.30170316301703165,1.44302350994144,False,False,False,342306e3a12f4abeb732a8dbcf179fb96e9405814aed6531a82557aaef5d13b9,自动筛选通过，待全文人工复核
