对应题目,语言来源,代码,维度,样本量,均值,标准差,中位数
J1,学习者,J1,词汇丰富度与词汇扩展,155,0.39381056294407846,0.944032652364737,0.44417092782698814
J1,学习者,J1,基础词汇与叙事推进,155,0.20627448546845303,0.7415158465270907,0.17198865412175096
J1,学习者,J1,人称指涉与信息密度,155,1.0173443146410521,0.7428018442824811,0.9519891565558755
J1,学习者,J1,句法延展与分句复杂度,155,0.18194920374780582,1.0732104708523265,0.10896745422590988
J1,学习者,J1,动作过程与动词链,155,-0.09871194131642919,0.8810900829632442,-0.1843703140899542
J1,公开网络母语参照,NJ1,词汇丰富度与词汇扩展,45,0.35913248377295137,0.9939799270081545,0.5060927266157449
J1,公开网络母语参照,NJ1,基础词汇与叙事推进,45,0.010915580703057455,0.7357000734651781,0.013869067771960225
J1,公开网络母语参照,NJ1,人称指涉与信息密度,45,0.5854925109523134,0.6465109736606354,0.48365942398904643
J1,公开网络母语参照,NJ1,句法延展与分句复杂度,45,1.417218021089746,1.8057197159558829,1.2585746675123572
J1,公开网络母语参照,NJ1,动作过程与动词链,45,-0.18670035256413553,0.8768368253052516,-0.24867863567821052
J2,学习者,J2,词汇丰富度与词汇扩展,155,0.41072669563610453,0.8803123829651809,0.3626639828768319
J2,学习者,J2,基础词汇与叙事推进,155,1.0079626581717107,0.6977395234432948,1.0800669771702358
J2,学习者,J2,人称指涉与信息密度,155,0.1681312663153358,0.7011521006010508,0.10187174452617456
J2,学习者,J2,句法延展与分句复杂度,155,-0.17844647563099675,0.8254950617262204,-0.15659501416462787
J2,学习者,J2,动作过程与动词链,155,-0.5691849619079609,0.7764107968152328,-0.626702718297651
J2,公开网络母语参照,NJ2,词汇丰富度与词汇扩展,45,0.39383998976843515,0.7680764630638364,0.5265080736776815
J2,公开网络母语参照,NJ2,基础词汇与叙事推进,45,0.013005839844832097,0.6929690257485364,0.06164581715761816
J2,公开网络母语参照,NJ2,人称指涉与信息密度,45,0.19860564382917248,0.6133028333052848,0.1031164446520005
J2,公开网络母语参照,NJ2,句法延展与分句复杂度,45,1.6461147922815549,1.5683079887981382,1.087858648709157
J2,公开网络母语参照,NJ2,动作过程与动词链,45,0.1702443287576106,0.8039740114265803,0.18447730343255342
Y1,学习者,Y1,词汇丰富度与词汇扩展,155,-0.021998517250835188,0.8184039806405192,-0.012004220765336901
Y1,学习者,Y1,基础词汇与叙事推进,155,-0.8862949986382502,0.7218781142835804,-0.7704914770919719
Y1,学习者,Y1,人称指涉与信息密度,155,-1.1101387131268865,0.4617805772710855,-1.1485068045589393
Y1,学习者,Y1,句法延展与分句复杂度,155,0.13201842340746864,1.08491628552402,-0.04697632282688595
Y1,学习者,Y1,动作过程与动词链,155,0.7354628769723237,1.0370847339911482,0.6670893083156911
Y1,公开网络母语参照,NY1,词汇丰富度与词汇扩展,45,0.4423518720882559,0.9533622310853501,0.4823470897080561
Y1,公开网络母语参照,NY1,基础词汇与叙事推进,45,-1.4160727499462722,0.5088319591336226,-1.3523480176463012
Y1,公开网络母语参照,NY1,人称指涉与信息密度,45,-0.8658351664317141,0.5562403802187134,-0.7457226621186703
Y1,公开网络母语参照,NY1,句法延展与分句复杂度,45,1.4304454760757839,1.5223924218143545,0.9556919469590451
Y1,公开网络母语参照,NY1,动作过程与动词链,45,0.37307252812943215,0.9816344588083176,0.5291878714381671
Y2,学习者,Y2,词汇丰富度与词汇扩展,155,-0.7825387413293479,0.8607159056609104,-0.7699926919755152
Y2,学习者,Y2,基础词汇与叙事推进,155,-0.32794214500191393,0.7052735713773508,-0.32202686000795633
Y2,学习者,Y2,人称指涉与信息密度,155,-0.07533686782950118,0.6682704637262602,-0.1987187891555131
Y2,学习者,Y2,句法延展与分句复杂度,155,-0.1355211515242777,0.9527941428068988,-0.32086263251181
Y2,学习者,Y2,动作过程与动词链,155,-0.06756597374793386,0.8245646969423617,-0.08983868770795823
Y2,公开网络母语参照,NY2,词汇丰富度与词汇扩展,45,0.1603769585460591,1.005918340423857,0.1502822531256832
Y2,公开网络母语参照,NY2,基础词汇与叙事推进,45,-1.0480131919809366,0.615026264020194,-1.0340973845918964
Y2,公开网络母语参照,NY2,人称指涉与信息密度,45,-0.38192129784017265,0.5639493086716098,-0.5087245222947817
Y2,公开网络母语参照,NY2,句法延展与分句复杂度,45,1.1095987460460304,1.2044156469138665,0.9075738206585349
Y2,公开网络母语参照,NY2,动作过程与动词链,45,0.7310700961280188,0.7653618160233855,0.7480039613511437
