字段名,类别,初始顺序,筛选状态,筛选原因,零值比例,标准差,相关变量,相关系数,MSA,共同度
词形丰富度TTR,词汇丰富度,14,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.06215506755726234,,,0.8214725572504776,
Guiraud值,词汇丰富度,15,进入候选模型,通过稀疏、共线和MSA筛选,0.0,1.3117643721604826,,,0.8844273287664057,
MATTR-50,词汇丰富度,16,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.04117343242117242,,,0.8777253740488847,
仅出现一次词每千字,词汇丰富度,18,删除,与保留变量绝对相关系数≥0.85,0.0,47.45843687039398,仅出现一次词占比,0.913061540049888,,
仅出现一次词占比,词汇丰富度,19,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.05678340429508555,,,0.8754577182607434,
名词去重词每千字,词汇丰富度,21,进入候选模型,通过稀疏、共线和MSA筛选,0.0,17.73389226788142,,,0.6601894337893642,
名词TTR,词汇丰富度,22,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.12557041532588042,,,0.6716671349758492,
动词去重词每千字,词汇丰富度,24,进入候选模型,通过稀疏、共线和MSA筛选,0.0,18.97520718004571,,,0.6850714208111028,
动词TTR,词汇丰富度,25,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.10000332654035018,,,0.7166916030455933,
形容词去重词每千字,词汇丰富度,27,删除,变量级MSA<0.50,0.0,9.219054536386455,,,0.45055427044021734,
形容词TTR,词汇丰富度,28,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.13820902235771115,,,0.752663326180008,
副词去重词每千字,词汇丰富度,30,进入候选模型,通过稀疏、共线和MSA筛选,0.0,9.670534822408191,,,0.6188576209412714,
副词TTR,词汇丰富度,31,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.12585826378584727,,,0.6493532159170469,
词汇密度,词汇密度与词长,34,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.04420036931353551,,,0.6926336221782575,
实词率,词汇密度与词长,41,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.03303814092181447,,,0.55072061303932,
实虚词比,词汇密度与词长,42,删除,与保留变量绝对相关系数≥0.85,0.0,0.3916226100744969,实词率,0.9617793645597722,,
平均词长,词汇密度与词长,43,进入候选模型,通过稀疏、共线和MSA筛选,0.0,0.07531896010930492,,,0.811970637889701,
双字词占比,词汇密度与词长,49,删除,与保留变量绝对相关系数≥0.85,0.0,0.06527891975335536,平均词长,0.8736668383988995,,
