字段名,类别,J1_词汇等级与词形复杂度,J2_词汇丰富度与词汇扩展
词形丰富度TTR,词汇丰富度,-0.09881196878949539,0.8227137999603016
Guiraud值,词汇丰富度,-0.10881493637063619,0.6549304180401588
MATTR-50,词汇丰富度,-0.09021856712425556,0.7469004226412722
仅出现一次词占比,词汇丰富度,-0.05358168682914138,0.8252236906897827
名词去重词每千字,词汇丰富度,-0.2169131048260696,0.5728482796259173
名词TTR,词汇丰富度,0.10898453671645715,0.6865477790712927
动词去重词每千字,词汇丰富度,0.1150892829492557,0.6992839857642352
动词TTR,词汇丰富度,0.2470353645335239,0.7433981541586206
词汇密度,词汇密度与词长,-0.6125023796623398,0.02437825698906036
平均词长,词汇密度与词长,-0.6526296683448944,-0.11686590415064839
代词每千字,词性,0.7685219157158554,0.06920317349855436
第一人称单数代词每千字,语法标记,0.7748905708934412,0.13897151376817313
1级词汇占比,HSK,0.8394275278419521,-0.3012792059360916
1级词汇种类每千字,HSK,0.7414232906710944,0.07804534672144783
2级词汇占比,HSK,0.5610755145398381,-0.0558027305044208
2级词汇种类每千字,HSK,0.6807460203216165,0.09971640383158459
4级词汇占比,HSK,-0.6134012877632128,-0.11693095400287996
4级词汇内部TTR,HSK,0.3831012730138807,0.47444153482189394
5级词汇占比,HSK,-0.7615553952988613,0.1402750478702125
6级词汇占比,HSK,-0.4971669500465159,0.3567184954639951
中等词汇占比,HSK,-0.8894997771956299,0.10519251221480115
高等词汇占比,HSK,-0.369891534921464,0.4318724036930015
非HSK词汇种类每千字,HSK,-0.07320374287329609,0.6719508541440162
非HSK词汇TTR,HSK,0.3160207458777655,0.5087288398830616
