因子序号,实测特征根,随机95%阈值,实测大于随机阈值
1,11.553696779270183,1.8356767230721764,True
2,9.638010423580644,1.7719856232682887,True
3,6.039931545422869,1.7280591732642543,True
4,4.243614879044781,1.6963448966826902,True
5,3.4018677553274648,1.6658628977188428,True
6,3.071583657764106,1.6369927910923001,True
7,2.4946706165559895,1.6111040371514584,True
8,2.173161139210078,1.5845245400779187,True
9,2.0280083410619882,1.5645608730277247,True
10,1.9333328983308373,1.5426623885140223,True
11,1.7510200683396155,1.5225397070368945,True
12,1.6857428102416148,1.5026411089194802,True
13,1.5901110655025248,1.4821778867246245,True
14,1.5398520152276447,1.4638044615175199,True
15,1.4438779596933318,1.4447176787187817,False
16,1.4014783924307785,1.427356459134708,False
17,1.344265494736557,1.4091735745640237,False
18,1.2867612825105819,1.3940472974042042,False
19,1.2512296415516229,1.376559982040926,False
20,1.2060086863656059,1.3598967424789632,False
21,1.1876261201664047,1.3440868948553688,False
22,1.1441004908607797,1.3297051935853452,False
23,1.130814420626693,1.3138903121811891,False
24,1.105790410074436,1.2978547153834363,False
25,1.086453010678235,1.2836096055486665,False
26,1.0461959534068872,1.269065118355204,False
27,1.0051328229909984,1.2558182766088144,False
28,0.9852327570641138,1.2422226398903746,False
29,0.9781303827806002,1.227158151496751,False
30,0.953974280768551,1.2130515562657507,False
31,0.9280781924444862,1.2006357644919046,False
32,0.9106788893967297,1.1874983701142987,False
33,0.8804144156584599,1.1733219819102174,False
34,0.869817687708219,1.1610313448322107,False
35,0.861706650223465,1.1482849550005967,False
36,0.8436016465092613,1.1356267276545802,False
37,0.8236107675038338,1.123714179987299,False
38,0.8132108822280139,1.111335108632695,False
39,0.7762540647956986,1.0985797241830713,False
40,0.7624588796681809,1.0861537313711556,False
41,0.7338407914136755,1.0743264785900486,False
42,0.7275344689138549,1.0619182131129024,False
43,0.7183159901247864,1.0504977506424393,False
44,0.6983655516897761,1.039029931110947,False
45,0.6863243892174292,1.0273293614924237,False
46,0.6651737102313041,1.015942541609504,False
47,0.6578679907546378,1.0063146107293863,False
48,0.6494373982708815,0.994186041802227,False
49,0.6235166396221525,0.9822861844025323,False
50,0.6172772942926039,0.9719218618506145,False
51,0.5969027030290769,0.9608725116438743,False
52,0.5868118804470587,0.9503188849750722,False
53,0.5677372365437438,0.9384802348543521,False
54,0.5466113464736223,0.9276888381528161,False
55,0.5422243918960301,0.9170380591345383,False
56,0.5161912147356688,0.9063464527221267,False
57,0.4981449242863117,0.8958647399992747,False
58,0.4944425276023945,0.8860409782547275,False
59,0.4845223149577211,0.8756637513200912,False
60,0.471793187361488,0.8652892203497732,False
61,0.4492281793982673,0.8549077643153568,False
62,0.4349018968937116,0.8451790455228881,False
63,0.4335157195854211,0.8348323489925296,False
64,0.41870410938095504,0.8245980777585313,False
65,0.40487551311046693,0.814314935988733,False
66,0.3743251621497561,0.8030629506308249,False
67,0.3617397415990412,0.793280967091055,False
68,0.3359241674677208,0.7843990723258931,False
69,0.320740769170841,0.7747914409069163,False
70,0.30115696228732947,0.7655219918318213,False
71,0.26846455625631493,0.7552505084493014,False
72,0.26208028427871305,0.7451751696173335,False
73,0.24746506605096535,0.7351054427255511,False
74,0.2345831097687111,0.7250594662332317,False
75,0.23153269988036282,0.7157021059913291,False
76,0.21101494421390452,0.7056502933293586,False
77,0.19770091646786653,0.69575167380028,False
78,0.18665249697911676,0.6859105182004153,False
79,0.15557988488638022,0.6760732912878008,False
80,0.1416904776183172,0.666701084054663,False
81,0.12211351750872908,0.6575085696476897,False
82,0.11529022954886728,0.6473132125911344,False
83,0.09909647444056498,0.6374104207632678,False
84,0.07606333856520352,0.6267595764823838,False
85,0.062939169215818,0.6166161615845202,False
86,0.060898126384706625,0.6064595256501271,False
87,0.04899877064520242,0.5968271801822147,False
88,0.04152774822426971,0.5867755061320111,False
89,0.026991126537143938,0.5765245981638107,False
90,0.023105567693444382,0.5657785154333687,False
91,0.01980937874319853,0.5555279248388806,False
92,0.01643152916998319,0.5447889964310038,False
93,0.014231341806437129,0.5337610617223421,False
94,0.013048730649849485,0.5225976466836484,False
95,0.011537843378626372,0.5108991010599492,False
96,0.008596910837386175,0.498921191340469,False
97,0.007865268720406843,0.4854753565958257,False
98,0.0050341408989190515,0.4706249858551463,False
99,4.3166288648101145e-17,0.4534321922065406,False
