序号,等级原文,主等级,兼属等级,等级组,词语,拼音,词性,PDF页码
1,1,1,,初等,爱,ài,动,80
2,1,1,,初等,八,bā,数,80
3,1,1,,初等,爸爸,bàba,名,80
4,1,1,,初等,吧,ba,助,80
5,1,1,,初等,白天,báitiān,名,80
6,1,1,,初等,百,bǎi,数,80
7,1（4）,1,4,初等,半,bàn,数、（副）,80
8,1,1,,初等,包子,bāozi,名,80
9,1,1,,初等,杯子,bēizi,名,80
10,1,1,,初等,本1,běn,量,80
11,1,1,,初等,边,biān,名、后缀,80
12,1,1,,初等,病,bìng,名、动,80
13,1,1,,初等,不,bù,副,80
14,1,1,,初等,不客气,bú kèqi,,80
15,1,1,,初等,不要,búyào,副,80
16,1,1,,初等,菜,cài,名,80
17,1,1,,初等,茶,chá,名,80
18,1,1,,初等,唱,chàng,动,80
19,1,1,,初等,超市,chāoshì,名,80
20,1,1,,初等,车,chē,名,80
21,1,1,,初等,吃,chī,动,80
22,1,1,,初等,出租车,chūzūchē,名,80
23,1,1,,初等,穿,chuān,动,80
24,1,1,,初等,打电话,dǎ diànhuà,,80
25,1,1,,初等,大,dà,形,80
26,1,1,,初等,大家,dàjiā,代,80
27,1,1,,初等,大学,dàxué,名,80
28,1,1,,初等,大学生,dàxuéshēng,名,80
29,1,1,,初等,到,dào,动,80
30,1,1,,初等,的,de,助,80
31,1,1,,初等,第,dì,前缀,80
32,1,1,,初等,弟弟,dìdi,名,80
33,1（3）,1,3,初等,点1,diǎn,量、（名）,80
34,1,1,,初等,店,diàn,名,80
35,1,1,,初等,电话,diànhuà,名,80
36,1,1,,初等,电脑,diànnǎo,名,80
37,1,1,,初等,电视,diànshì,名,80
38,1,1,,初等,电影,diànyǐng,名,80
39,1,1,,初等,电影院,diànyǐngyuàn,名,80
40,1,1,,初等,东西,dōngxi,名,80
41,1,1,,初等,都,dōu,副,81
42,1,1,,初等,读,dú,动,81
43,1,1,,初等,读书,dúshū,动,81
44,1（4）,1,4,初等,对,duì,形、介、（动、量）,81
45,1,1,,初等,对不起,duìbuqǐ,动,81
46,1（2）,1,2,初等,多,duō,形、动、代、（数、副）,81
47,1,1,,初等,多少,duōshao,代,81
48,1,1,,初等,儿子,érzi,名,81
49,1,1,,初等,二,èr,数,81
50,1,1,,初等,饭,fàn,名,81
51,1,1,,初等,饭店,fàndiàn,名,81
52,1,1,,初等,房间,fángjiān,名,81
53,1,1,,初等,非常,fēicháng,副,81
54,1,1,,初等,飞机,fēijī,名,81
55,1（3）,1,3,初等,分,fēn,量、（动、名）,81
56,1,1,,初等,分钟,fēnzhōng,量,81
57,1,1,,初等,高兴,gāoxìng,形,81
58,1,1,,初等,歌,gē,名,81
59,1,1,,初等,哥哥,gēge,名,81
60,1,1,,初等,个,gè,量,81
61,1（2）,1,2,初等,给,gěi,动、（介）,81
62,1,1,,初等,公司,gōngsī,名,81
63,1,1,,初等,工作,gōngzuò,动、名,81
64,1,1,,初等,狗,gǒu,名,81
65,1,1,,初等,贵,guì,形,81
66,1,1,,初等,国,guó,名,81
67,1,1,,初等,还,hái,副,81
68,1,1,,初等,孩子,háizi,名,81
69,1,1,,初等,汉语,Hànyǔ,名,81
70,1,1,,初等,汉字,Hànzì,名,81
71,1（2）（4）,1,2|4,初等,好,hǎo,形、（副）、（动）,81
72,1,1,,初等,好吃,hǎochī,形,81
73,1,1,,初等,好看,hǎokàn,形,81
74,1,1,,初等,好听,hǎotīng,形,81
75,1,1,,初等,好玩儿,hǎowánr,形,81
76,1,1,,初等,号,hào,名、量,81
77,1,1,,初等,喝,hē,动,81
78,1,1,,初等,和1,hé,介、连,81
79,1,1,,初等,很,hěn,副,81
80,1,1,,初等,后,hòu,名,81
81,1（3）,1,3,初等,回,huí,动、（量）,82
82,1,1,,初等,会1,huì,动,82
83,1,1,,初等,火车,huǒchē,名,82
84,1,1,,初等,鸡蛋,jīdàn,名,82
85,1,1,,初等,几,jǐ,代、数,82
86,1（3）,1,3,初等,家,jiā,名、量、（后缀）,82
87,1,1,,初等,家人,jiārén,名,82
88,1,1,,初等,见,jiàn,动,82
89,1,1,,初等,件,jiàn,量,82
90,1,1,,初等,饺子,jiǎozi,名,82
91,1（4）,1,4,初等,叫,jiào,动、（介）,82
92,1,1,,初等,姐姐,jiějie,名,82
93,1,1,,初等,今年,jīnnián,名,82
94,1,1,,初等,今天,jīntiān,名,82
95,1,1,,初等,九,jiǔ,数,82
96,1,1,,初等,觉得,juéde,动,82
97,1,1,,初等,开,kāi,动,82
98,1,1,,初等,开车,kāichē,动,82
99,1,1,,初等,看,kàn,动,82
100,1,1,,初等,看病,kànbìng,动,82
101,1,1,,初等,看见,kànjiàn,动,82
102,1,1,,初等,可以,kěyǐ,动、形,82
103,1,1,,初等,课,kè,名,82
104,1,1,,初等,口,kǒu,名、量,82
105,1,1,,初等,块,kuài,量,82
106,1,1,,初等,来,lái,动,82
107,1,1,,初等,老师,lǎoshī,名,82
108,1,1,,初等,了,le,助,82
109,1,1,,初等,冷,lěng,形,82
110,1,1,,初等,里,lǐ,名,82
111,1,1,,初等,两1,liǎng,数,82
112,1,1,,初等,零,líng,数,82
113,1,1,,初等,六,liù,数,82
114,1,1,,初等,妈妈,māma,名,82
115,1,1,,初等,吗,ma,助,82
116,1,1,,初等,买,mǎi,动,82
117,1,1,,初等,卖,mài,动,82
118,1,1,,初等,忙,máng,形、动,82
119,1,1,,初等,猫,māo,名,82
120,1,1,,初等,没关系,méi guānxi,,82
121,1,1,,初等,没事,méishì,动,83
122,1,1,,初等,没有,méiyǒu,动、副,83
123,1,1,,初等,妹妹,mèimei,名,83
124,1,1,,初等,们,men,后缀,83
125,1,1,,初等,米饭,mǐfàn,名,83
126,1,1,,初等,面包,miànbāo,名,83
127,1,1,,初等,面条儿,miàntiáor,名,83
128,1,1,,初等,明年,míngnián,名,83
129,1,1,,初等,明天,míngtiān,名,83
130,1,1,,初等,名字,míngzi,名,83
131,1,1,,初等,哪,nǎ,代,83
132,1,1,,初等,哪个,nǎge,代,83
133,1,1,,初等,哪里,nǎlǐ,代,83
134,1,1,,初等,哪儿,nǎr,代,83
135,1,1,,初等,哪些,nǎxiē,代,83
136,1（2）,1,2,初等,那,nà,代、（连）,83
137,1,1,,初等,那边,nàbiān,代,83
138,1,1,,初等,那个,nàge,代,83
139,1,1,,初等,那里,nàlǐ,代,83
140,1,1,,初等,那儿,nàr,代,83
141,1,1,,初等,那些,nàxiē,代,83
142,1,1,,初等,男,nán,形,83
143,1,1,,初等,男朋友,nánpéngyou,名,83
144,1,1,,初等,呢,ne,助,83
145,1,1,,初等,能,néng,动,83
146,1,1,,初等,你,nǐ,代,83
147,1,1,,初等,你好,nǐ hǎo,,83
148,1,1,,初等,你们,nǐmen,代,83
149,1,1,,初等,年,nián,名、量,83
150,1,1,,初等,您,nín,代,83
151,1,1,,初等,牛奶,niúnǎi,名,83
152,1,1,,初等,女,nǚ,形,83
153,1,1,,初等,女儿,nǚ’ér,名,83
