类型,前项,后项,来源说明
成语,一丝不苟,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一举一动,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一举两得,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一事无成,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一分耕耘，一分收获,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一塌糊涂,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一孔之见,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一字一句,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一家之言,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一寸光阴一寸金,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一尘不染,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一帆风顺,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一干二净,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一无所知,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一望无际,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一来二去,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一概而论,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一模一样,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一步一个脚印,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一步登天,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一气呵成,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一点一滴,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一片汪洋,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一目了然,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一落千丈,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一见如故,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一视同仁,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一触即发,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,一言一行,,chinese-xinhua成语数据；按当前800篇语料命中筛选
