大类,特征名,词项,允许词性前缀,来源说明
语法标记,疑问副词,怎么,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,疑问副词,为什么,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,疑问副词,为何,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,疑问副词,怎样,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,疑问副词,如何,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,疑问副词,多么,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,疑问副词,何必,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,疑问副词,难道,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,疑问副词,究竟,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,疑问副词,到底,d|r,刘艳春论文附录第5项并结合现代汉语常用形式
语法标记,限定词,每,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,限定词,各,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,限定词,某,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,限定词,任何,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,限定词,所有,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,限定词,一切,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,限定词,全部,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,限定词,许多,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,限定词,多数,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,限定词,少数,r|m|q,刘艳春论文附录第20项的保守常用词表
语法标记,低调词与模糊语,仅,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,仅仅,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,只是,d|c,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,有点,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,有点儿,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,稍微,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,略微,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,比较,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,大概,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,大约,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,也许,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,或许,d,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,可能,d|v,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,恐怕,d|v,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,似乎,d|v,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,好像,d|v,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,差不多,d|a,刘艳春论文第41项及文中示例
语法标记,低调词与模糊语,几乎,d,刘艳春论文第41项及文中示例
语法标记,夸张与加强语,很,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,非常,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,十分,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,极,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,极其,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,极为,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,万分,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,太,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,特别,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,格外,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,相当,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,完全,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,绝对,d|a,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,确实,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,的确,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,根本,d,刘艳春论文第42项及文中示例
语法标记,夸张与加强语,简直,d,刘艳春论文第42项及文中示例
语法标记,表可能性情态词,能,v,刘艳春论文第50项的保守常用词表
语法标记,表可能性情态词,能够,v,刘艳春论文第50项的保守常用词表
语法标记,表可能性情态词,会,v,刘艳春论文第50项的保守常用词表
语法标记,表可能性情态词,可以,v,刘艳春论文第50项的保守常用词表
语法标记,表可能性情态词,可,v,刘艳春论文第50项的保守常用词表
语法标记,表必要性情态词,应该,v,刘艳春论文第51项的保守常用词表
语法标记,表必要性情态词,应当,v,刘艳春论文第51项的保守常用词表
语法标记,表必要性情态词,必须,v,刘艳春论文第51项的保守常用词表
语法标记,表必要性情态词,需要,v,刘艳春论文第51项的保守常用词表
语法标记,表必要性情态词,要,v,刘艳春论文第51项的保守常用词表
语法标记,表必要性情态词,不得不,v|d,刘艳春论文第51项的保守常用词表
语法标记,表意愿性情态词,愿意,v,刘艳春论文第52项的保守常用词表
语法标记,表意愿性情态词,肯,v,刘艳春论文第52项的保守常用词表
语法标记,表意愿性情态词,敢,v,刘艳春论文第52项的保守常用词表
语法标记,表意愿性情态词,想,v,刘艳春论文第52项的保守常用词表
语法标记,表意愿性情态词,希望,v,刘艳春论文第52项的保守常用词表
语法标记,表意愿性情态词,打算,v,刘艳春论文第52项的保守常用词表
语法标记,表语性情态动词,正要,v|d,刘艳春论文第53项文中示例
语法标记,表语性情态动词,就要,v|d,刘艳春论文第53项文中示例的保守扩展
语法标记,表语性情态动词,将要,v|d,刘艳春论文第53项文中示例的保守扩展
语法标记,表语性情态动词,快要,v|d,刘艳春论文第53项文中示例的保守扩展
记叙描写,过去时间名词,昨天,t,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,前天,t,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,去年,t,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,以前,t|d,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,从前,t|d,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,过去,t,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,当年,t,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,古代,t,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,童年,t,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,小时候,t,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,那时,t|r,刘艳春论文第37项的保守常用词表
记叙描写,过去时间名词,当时,t|d,刘艳春论文第37项的保守常用词表
记叙描写,现在时间名词,今天,t,刘艳春论文第38项的保守常用词表
记叙描写,现在时间名词,现在,t|d,刘艳春论文第38项的保守常用词表
记叙描写,现在时间名词,目前,t|d,刘艳春论文第38项的保守常用词表
记叙描写,现在时间名词,现今,t|d,刘艳春论文第38项的保守常用词表
记叙描写,现在时间名词,如今,t|d,刘艳春论文第38项的保守常用词表
记叙描写,现在时间名词,此刻,t,刘艳春论文第38项的保守常用词表
记叙描写,现在时间名词,当前,t|d,刘艳春论文第38项的保守常用词表
记叙描写,现在时间名词,眼下,t|d,刘艳春论文第38项的保守常用词表
记叙描写,未来时间名词,明天,t,刘艳春论文第39项的保守常用词表
记叙描写,未来时间名词,后天,t,刘艳春论文第39项的保守常用词表
记叙描写,未来时间名词,明年,t,刘艳春论文第39项的保守常用词表
记叙描写,未来时间名词,以后,t|d,刘艳春论文第39项的保守常用词表
记叙描写,未来时间名词,将来,t,刘艳春论文第39项的保守常用词表
记叙描写,未来时间名词,未来,t,刘艳春论文第39项的保守常用词表
记叙描写,未来时间名词,往后,t|d,刘艳春论文第39项的保守常用词表
记叙描写,表完成时态时间副词,已经,d,刘艳春论文第43项的保守常用词表
记叙描写,表完成时态时间副词,曾经,d,刘艳春论文第43项的保守常用词表
记叙描写,表完成时态时间副词,曾,d,刘艳春论文第43项的保守常用词表
记叙描写,表完成时态时间副词,早已,d,刘艳春论文第43项的保守常用词表
记叙描写,表完成时态时间副词,早就,d,刘艳春论文第43项的保守常用词表
记叙描写,表完成时态时间副词,刚刚,d|t,刘艳春论文第43项的保守常用词表
记叙描写,表过去时间副词,以前,d|t,刘艳春论文第44项的保守常用词表
记叙描写,表过去时间副词,从前,d|t,刘艳春论文第44项的保守常用词表
记叙描写,表过去时间副词,当时,d|t,刘艳春论文第44项的保守常用词表
记叙描写,表过去时间副词,那时,d|t,刘艳春论文第44项的保守常用词表
记叙描写,表过去时间副词,原来,d,刘艳春论文第44项的保守常用词表
记叙描写,表过去时间副词,后来,d|t,刘艳春论文第44项的保守常用词表
记叙描写,表正在进行时间副词,正,d,刘艳春论文第45项的保守常用词表
记叙描写,表正在进行时间副词,正在,d,刘艳春论文第45项的保守常用词表
记叙描写,表正在进行时间副词,仍在,d,刘艳春论文第45项的保守常用词表
记叙描写,表正在进行时间副词,还在,d,刘艳春论文第45项的保守常用词表
记叙描写,表正在进行时间副词,一直,d,刘艳春论文第45项的保守常用词表
记叙描写,表将来时态时间副词,将,d,刘艳春论文第46项的保守常用词表
记叙描写,表将来时态时间副词,将要,d|v,刘艳春论文第46项的保守常用词表
记叙描写,表将来时态时间副词,即将,d,刘艳春论文第46项的保守常用词表
记叙描写,表将来时态时间副词,就要,d|v,刘艳春论文第46项的保守常用词表
记叙描写,表将来时态时间副词,快要,d|v,刘艳春论文第46项的保守常用词表
记叙描写,表将来时态时间副词,马上,d,刘艳春论文第46项的保守常用词表
记叙描写,私人性动词,认为,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,觉得,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,相信,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,以为,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,知道,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,明白,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,理解,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,记得,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,忘记,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,希望,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,喜欢,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,讨厌,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,担心,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,怀疑,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,感到,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,感觉,v,刘艳春论文第54项及文中示例
记叙描写,私人性动词,发现,v,刘艳春论文第54项及文中示例
记叙描写,建议要求类动词,建议,v,刘艳春论文第55项及文中示例
记叙描写,建议要求类动词,要求,v,刘艳春论文第55项及文中示例
记叙描写,建议要求类动词,请求,v,刘艳春论文第55项及文中示例
记叙描写,建议要求类动词,命令,v,刘艳春论文第55项及文中示例
记叙描写,建议要求类动词,劝,v,刘艳春论文第55项及文中示例
记叙描写,建议要求类动词,鼓励,v,刘艳春论文第55项及文中示例
记叙描写,建议要求类动词,提醒,v,刘艳春论文第55项及文中示例
记叙描写,建议要求类动词,呼吁,v,刘艳春论文第55项及文中示例
记叙描写,公共性动词,说,v,刘艳春论文第56项及文中示例
记叙描写,公共性动词,表示,v,刘艳春论文第56项及文中示例
记叙描写,公共性动词,指出,v,刘艳春论文第56项及文中示例
记叙描写,公共性动词,宣布,v,刘艳春论文第56项及文中示例
记叙描写,公共性动词,说明,v,刘艳春论文第56项及文中示例
记叙描写,公共性动词,报道,v,刘艳春论文第56项及文中示例
记叙描写,公共性动词,主张,v,刘艳春论文第56项及文中示例
复句关系,因果复句标记,因为,c|p,刘艳春论文附录第66项并采用保守关系标记
复句关系,因果复句标记,所以,c|d,刘艳春论文附录第66项并采用保守关系标记
复句关系,因果复句标记,因此,c|d,刘艳春论文附录第66项并采用保守关系标记
复句关系,因果复句标记,由于,c|p,刘艳春论文附录第66项并采用保守关系标记
复句关系,因果复句标记,于是,c|d,刘艳春论文附录第66项并采用保守关系标记
复句关系,因果复句标记,既然,c,刘艳春论文附录第66项并采用保守关系标记
复句关系,因果复句标记,因而,c|d,刘艳春论文附录第66项并采用保守关系标记
复句关系,因果复句标记,以致,c,刘艳春论文附录第66项并采用保守关系标记
复句关系,转折复句标记,但是,c,刘艳春论文附录第67项并采用保守关系标记
复句关系,转折复句标记,可是,c,刘艳春论文附录第67项并采用保守关系标记
复句关系,转折复句标记,然而,c,刘艳春论文附录第67项并采用保守关系标记
复句关系,转折复句标记,不过,c|d,刘艳春论文附录第67项并采用保守关系标记
复句关系,转折复句标记,却,d|c,刘艳春论文附录第67项并采用保守关系标记
复句关系,转折复句标记,虽然,c,刘艳春论文附录第67项并采用保守关系标记
