大类,特征名,词项,允许词性前缀,来源说明
语法标记,第一人称单数代词,我,r,徐勤2023第3章ID14
语法标记,第一人称复数代词,我们,r,徐勤2023第3章ID14
语法标记,其他第一人称代词,咱,r,徐勤2023第3章ID14
语法标记,其他第一人称代词,咱们,r,徐勤2023第3章ID14
语法标记,其他第一人称代词,本人,r,徐勤2023第3章ID14
语法标记,其他第一人称代词,俺,r,徐勤2023第3章ID14
语法标记,其他第一人称代词,俺们,r,徐勤2023第3章ID14
语法标记,其他第一人称代词,自己,r,徐勤2023第3章ID14
语法标记,第二人称代词,你,r,徐勤2023第3章ID15
语法标记,第二人称代词,您,r,徐勤2023第3章ID15
语法标记,第二人称代词,你们,r,徐勤2023第3章ID15
语法标记,第三人称代词,他,r,徐勤2023第3章ID16
语法标记,第三人称代词,她,r,徐勤2023第3章ID16
语法标记,第三人称代词,他们,r,徐勤2023第3章ID16
语法标记,第三人称代词,她们,r,徐勤2023第3章ID16
语法标记,非人第三人称代词,它,r,徐勤2023第3章ID17
语法标记,非人第三人称代词,它们,r,徐勤2023第3章ID17
语法标记,指示代词,这,r,徐勤2023第3章ID18
语法标记,指示代词,那,r,徐勤2023第3章ID18
语法标记,指示代词,这里,r,徐勤2023第3章ID18
语法标记,指示代词,那里,r,徐勤2023第3章ID18
语法标记,指示代词,这儿,r,徐勤2023第3章ID18
语法标记,指示代词,那儿,r,徐勤2023第3章ID18
语法标记,指示代词,这样,r,徐勤2023第3章ID18
语法标记,指示代词,那样,r,徐勤2023第3章ID18
语法标记,指示代词,这么,r,徐勤2023第3章ID18
语法标记,指示代词,那么,r,徐勤2023第3章ID18
语法标记,指示代词,这些,r,徐勤2023第3章ID18
语法标记,指示代词,那些,r,徐勤2023第3章ID18
语法标记,指示代词,其,r,徐勤2023第3章ID18
语法标记,指示代词,其他,r,徐勤2023第3章ID18
语法标记,指示代词,别的,r,徐勤2023第3章ID18
语法标记,不定代词,有人,r,徐勤2023第3章ID19
语法标记,不定代词,某人,r,徐勤2023第3章ID19
语法标记,不定代词,某,r,徐勤2023第3章ID19
语法标记,不定代词,任何人,r,徐勤2023第3章ID19
语法标记,不定代词,任何事,r,徐勤2023第3章ID19
语法标记,不定代词,一切,r,徐勤2023第3章ID19
语法标记,不定代词,大家,r,徐勤2023第3章ID19
语法标记,不定代词,别人,r,徐勤2023第3章ID19
语法标记,疑问代词,谁,r,徐勤2023第3章ID19
语法标记,疑问代词,什么,r,徐勤2023第3章ID19
语法标记,疑问代词,哪,r,徐勤2023第3章ID19
语法标记,疑问代词,哪儿,r,徐勤2023第3章ID19
语法标记,疑问代词,哪里,r,徐勤2023第3章ID19
语法标记,疑问代词,怎么,r,徐勤2023第3章ID19
语法标记,疑问代词,怎样,r,徐勤2023第3章ID19
语法标记,疑问代词,怎么样,r,徐勤2023第3章ID19
语法标记,疑问代词,为什么,r,徐勤2023第3章ID19
语法标记,情态动词,能,v,徐勤2023第3章ID32-46
语法标记,情态动词,能够,v,徐勤2023第3章ID32-46
语法标记,情态动词,会,v,徐勤2023第3章ID32-46
语法标记,情态动词,可以,v,徐勤2023第3章ID32-46
语法标记,情态动词,可,v,徐勤2023第3章ID32-46
语法标记,情态动词,应该,v,徐勤2023第3章ID32-46
语法标记,情态动词,应当,v,徐勤2023第3章ID32-46
语法标记,情态动词,必须,v,徐勤2023第3章ID32-46
语法标记,情态动词,得,v,徐勤2023第3章ID32-46
语法标记,情态动词,要,v,徐勤2023第3章ID32-46
语法标记,情态动词,愿意,v,徐勤2023第3章ID32-46
语法标记,情态动词,肯,v,徐勤2023第3章ID32-46
语法标记,情态动词,敢,v,徐勤2023第3章ID32-46
语法标记,否定词,不,d|v,徐勤2023第3章ID32-46
语法标记,否定词,不必,d|v,徐勤2023第3章ID32-46
语法标记,否定词,没有,d|v,徐勤2023第3章ID32-46
语法标记,否定词,没,d|v,徐勤2023第3章ID32-46
语法标记,否定词,未,d|v,徐勤2023第3章ID32-46
语法标记,否定词,未必,d|v,徐勤2023第3章ID32-46
语法标记,否定词,别,d|v,徐勤2023第3章ID32-46
语法标记,否定词,莫,d|v,徐勤2023第3章ID32-46
语法标记,否定词,勿,d|v,徐勤2023第3章ID32-46
语法标记,否定词,不用,d|v,徐勤2023第3章ID32-46
语法标记,否定词,甭,d|v,徐勤2023第3章ID32-46
语法标记,否定词,不曾,d|v,徐勤2023第3章ID32-46
语法标记,否定词,未曾,d|v,徐勤2023第3章ID32-46
语法标记,否定词,未尝,d|v,徐勤2023第3章ID32-46
语法标记,否定词,无须,d|v,徐勤2023第3章ID32-46
语法标记,否定词,毋庸,d|v,徐勤2023第3章ID32-46
语法标记,否定词,无庸,d|v,徐勤2023第3章ID32-46
篇章连接,因果连接词,因为,c|p,徐勤2023第3章ID79-88
篇章连接,因果连接词,所以,c|d,徐勤2023第3章ID79-88
篇章连接,因果连接词,因此,c|d,徐勤2023第3章ID79-88
篇章连接,因果连接词,由于,c|p,徐勤2023第3章ID79-88
篇章连接,因果连接词,于是,c|d,徐勤2023第3章ID79-88
篇章连接,因果连接词,既然,c,徐勤2023第3章ID79-88
篇章连接,转折连接词,但是,c,徐勤2023第3章ID79-88
篇章连接,转折连接词,可是,c,徐勤2023第3章ID79-88
篇章连接,转折连接词,然而,c,徐勤2023第3章ID79-88
篇章连接,转折连接词,不过,c|d,徐勤2023第3章ID79-88
篇章连接,转折连接词,却,d|c,徐勤2023第3章ID79-88
篇章连接,转折连接词,尽管,c|d,徐勤2023第3章ID79-88
篇章连接,转折连接词,虽然,c,徐勤2023第3章ID79-88
篇章连接,条件连接词,如果,c,徐勤2023第3章ID79-88
篇章连接,条件连接词,只要,c,徐勤2023第3章ID79-88
篇章连接,条件连接词,除非,c,徐勤2023第3章ID79-88
篇章连接,条件连接词,一旦,c|d,徐勤2023第3章ID79-88
篇章连接,条件连接词,只有,c|d,徐勤2023第3章ID79-88
篇章连接,条件连接词,要是,c,徐勤2023第3章ID79-88
篇章连接,条件连接词,即使,c,徐勤2023第3章ID79-88
篇章连接,递进连接词,而且,c,徐勤2023第3章ID79-88
篇章连接,递进连接词,甚至,d|c,徐勤2023第3章ID79-88
篇章连接,递进连接词,不仅,c|d,徐勤2023第3章ID79-88
篇章连接,递进连接词,不但,c|d,徐勤2023第3章ID79-88
篇章连接,递进连接词,何况,c,徐勤2023第3章ID79-88
篇章连接,递进连接词,况且,c,徐勤2023第3章ID79-88
篇章连接,并列连接词,和,c|p,徐勤2023第3章ID79-88
篇章连接,并列连接词,并且,c,徐勤2023第3章ID79-88
篇章连接,并列连接词,同时,c|d,徐勤2023第3章ID79-88
篇章连接,并列连接词,以及,c,徐勤2023第3章ID79-88
篇章连接,并列连接词,也,d|c,徐勤2023第3章ID79-88
篇章连接,并列连接词,又,d|c,徐勤2023第3章ID79-88
篇章连接,并列连接词,一边,d|c,徐勤2023第3章ID79-88
篇章连接,并列连接词,一方面,d|c,徐勤2023第3章ID79-88
篇章连接,顺序连接词,首先,d,徐勤2023第3章ID79-88
篇章连接,顺序连接词,然后,c|d,徐勤2023第3章ID79-88
篇章连接,顺序连接词,接着,c|d|v,徐勤2023第3章ID79-88
篇章连接,顺序连接词,后来,d|t,徐勤2023第3章ID79-88
篇章连接,顺序连接词,最后,d|t,徐勤2023第3章ID79-88
篇章连接,顺序连接词,先,d,徐勤2023第3章ID79-88
篇章连接,顺序连接词,再,d,徐勤2023第3章ID79-88
篇章连接,顺序连接词,随即,d,徐勤2023第3章ID79-88
篇章连接,总结连接词,总之,c|d,徐勤2023第3章ID79-88
篇章连接,总结连接词,总而言之,c|d,徐勤2023第3章ID79-88
篇章连接,总结连接词,综上所述,c|d|g,徐勤2023第3章ID79-88
篇章连接,总结连接词,由此可见,c|d|g,徐勤2023第3章ID79-88
篇章连接,举例连接词,例如,v|c|d,徐勤2023第3章ID79-88
篇章连接,举例连接词,比如,v|c|d,徐勤2023第3章ID79-88
篇章连接,举例连接词,譬如,v|c|d,徐勤2023第3章ID79-88
篇章连接,举例连接词,举例来说,v|g,徐勤2023第3章ID79-88
记叙描写,时间副词,本来,d,徐勤2023第3章ID61
记叙描写,时间副词,曾经,d,徐勤2023第3章ID61
记叙描写,时间副词,常常,d,徐勤2023第3章ID61
记叙描写,时间副词,重新,d,徐勤2023第3章ID61
记叙描写,时间副词,从此,d,徐勤2023第3章ID61
记叙描写,时间副词,从来,d,徐勤2023第3章ID61
记叙描写,时间副词,当时,d|t,徐勤2023第3章ID61
记叙描写,时间副词,顿时,d,徐勤2023第3章ID61
记叙描写,时间副词,方才,d|t,徐勤2023第3章ID61
记叙描写,时间副词,刚刚,d|t,徐勤2023第3章ID61
记叙描写,时间副词,忽然,d,徐勤2023第3章ID61
记叙描写,时间副词,及时,d,徐勤2023第3章ID61
记叙描写,时间副词,即将,d,徐勤2023第3章ID61
记叙描写,时间副词,渐渐,d,徐勤2023第3章ID61
记叙描写,时间副词,经常,d,徐勤2023第3章ID61
记叙描写,时间副词,立刻,d,徐勤2023第3章ID61
记叙描写,时间副词,马上,d,徐勤2023第3章ID61
记叙描写,时间副词,偶尔,d,徐勤2023第3章ID61
记叙描写,时间副词,仍然,d,徐勤2023第3章ID61
记叙描写,时间副词,时常,d,徐勤2023第3章ID61
记叙描写,时间副词,始终,d,徐勤2023第3章ID61
记叙描写,时间副词,首先,d,徐勤2023第3章ID61
记叙描写,时间副词,随后,d,徐勤2023第3章ID61
记叙描写,时间副词,往往,d,徐勤2023第3章ID61
记叙描写,时间副词,向来,d,徐勤2023第3章ID61
记叙描写,时间副词,已经,d,徐勤2023第3章ID61
记叙描写,时间副词,一直,d,徐勤2023第3章ID61
记叙描写,时间副词,有时,d,徐勤2023第3章ID61
记叙描写,时间副词,原来,d,徐勤2023第3章ID61
记叙描写,时间副词,再次,d,徐勤2023第3章ID61
记叙描写,时间副词,暂时,d,徐勤2023第3章ID61
记叙描写,时间副词,终于,d,徐勤2023第3章ID61
记叙描写,时间副词,总是,d,徐勤2023第3章ID61
记叙描写,时间副词,早就,d,徐勤2023第3章ID61
记叙描写,时间副词,正在,d,徐勤2023第3章ID61
记叙描写,时间副词,后来,d|t,徐勤2023第3章ID61
记叙描写,时间副词,以前,d|t,徐勤2023第3章ID61
记叙描写,时间副词,以后,d|t,徐勤2023第3章ID61
记叙描写,时间副词,每天,d|t,项目保守示例表v1
记叙描写,时间副词,现在,d|t,项目保守示例表v1
记叙描写,动作动词,哀叹,v,徐勤2023第3章动作动词示例
